a,a
AA,単3電池 
AAA,単4電池
AAC,AAC
Aaron,アーロン
AB,AB
aback,後ろに
abacus,そろばん
abalone,アワビ
abandon,捨てる
abandonment,放棄
abasic,無塩基
abate,弱まる
abattoir,食肉処理場
abbess,女子修道院長
abbey,修道院
abbot,修道院長
abbreviate,短縮する
abbreviated,略された
abbreviation,略語
ABC,ABC
abdicate,放棄する
abdication,退位
abdomen,腹部
abdominal,腹部
abduct,誘拐する
abducted,拉致
abduction,拉致
Abdul,アブドゥル
abed,就床して
Abel,アベル
Abercrombie,アバークロンビー
Aberdeen,アバディーン
aberrant,常軌を逸した
aberration,収差
abet,唆す
abhor,忌み嫌う
abhorrence,嫌悪
abhorrent,忌まわしい　
abide,守る
abigail,アビゲイル
Abilene,アビリーン
ability,能力
abiotic,非生物
abject,情けない
abjure,捨てる
ABL,ABL
ablate,切除する
ablated,アブレーション
ablation,アブレーション
ablative,アブレーション
ablaze,輝いている
able,できる
ably,巧みに
ABM,ABM
abnormal,異常な
abnormality,異常
abnormally,異常に
aboard,乗って
abolish,廃止する
abolition,廃止
abolitionist,廃止論者
abominable,忌まわしい　
abomination,醜態
Aboriginal,先住民
Aborigine,アボリジニ
abort,中止
aborted,アボート
abortion,中絶
abortionist,堕胎医
abortive,失敗に終わった
abortus,流産児
abound,たくさんある
about,約
above,の上に
Abraham,アブラハム
abrasion,摩耗
abrasive,研磨剤
abreast,横に並んで
abridge,削減する
abroad,海外で
abrogate,廃止する
abrogated,廃止
abrogation,廃止
abrupt,突然の
abruptly,突然
ABS,ABS
abscess,膿瘍
absence,不在
absent,欠席
absentee,不在者
absenteeism,常習的欠勤
absently,ぼんやり
absinthe,アブサン
absolute,絶対的な
absolutely,絶対に
absolution,赦免
absolutism,絶対主義
absolutist,絶対主義者
absolve,免除する
absorb,吸収する
absorbance,吸光度
absorbent,吸収剤
absorber,吸収体
absorption,吸収
abstain,棄権する
abstention,棄権
abstinence,禁欲
abstinent,禁欲
abstract,抽象
abstracted,抽象化された
abstraction,抽象化
abstruse,難解な
absurd,ばかげた
absurdist,不条理主義の
absurdity,不条理
absurdly,ばかばかしいほど
abundance,豊富
abundant,豊富な
abundantly,豊富に
abuse,虐待
abuser,虐待者
abusive,虐待的な
abut,隣接する
abuzz,騒然と
abysmal,ひどい　
abyss,深淵
AC,AC
acacia,アカシア
academe,学界
academia,アカデミー
academic,アカデミック
academically,学究的に
academician,アカデミー会員
academy,アカデミー
Acadian,アカディア人
acanthus,アカンサス
Acapulco,アカプルコ
accede,同意する
accelerate,加速する
acceleration,加速
accelerator,アクセラレータ
accent,アクセント
accentuate,際立たせる
accentuated,強調
accept,受け入れる
acceptability,受容性
acceptable,許容可能な
acceptance,受け入れ
accepted,一般に認められた
acceptor,アクセプタ
access,アクセス
accessed,アクセス
accessibility,接近性
accessible,アクセス可能な
accession,加盟
accessory,アクセサリー
accident,事故
accidental,不慮
accidentally,誤って
acclaim,称賛
acclaimed,著名
acclamation,歓呼
acclimate,順化
acclimated,順応された 
acclimation,順化
acclimatize,順応させる
accolade,栄誉
accommodate,受け入れる
accommodation,宿泊施設
accompaniment,伴奏
accompany,同行する
accomplice,共犯
accomplish,達成する
accomplished,達成された
accomplishment,達成
accord,調和
accordance,一致
according,従って
accordingly,それに応じて
accordion,アコーディオン
accost,呼び掛ける
account,アカウント
accountability,説明責任
accountable,責任がある
accountancy,会計学
accountant,会計士
accounting,会計
accredit,認定する
accreditation,認証された
accredited,公認の
accretion,合体
accrual,発生主義
accrue,生じる
acculturation,文化変容
accumulate,蓄積する
accumulation,蓄積
accuracy,精度
accurate,正確な
accurately,正確に
accusation,告発
accusative,対格
accusatory,非難する
accuse,非難する
accused,被告人
accusee,非難された者
accuser,原告
accustom,慣らす
accustomed,慣れて
ACD,ACD
ace,エース
acerbic,辛辣な
acetaminophen,アセトアミノフェン
acetate,アセテート
acetic,酢酸の
acetonitrile,アセトニトリル
acetyl,アセチル
acetylated,アセチル化
acetylation,アセチル化
acetylcholine,アセチルコリン
acetyltransferase,アセチルトランスフェラーゼ
ache,痛み
achievable,達成可能な
achieve,達成する
achievement,業績
achieving,達成
Achilles,アキレス腱
achy,うずく
acid,酸
acidic,酸性の
acidification,酸性化
acidify,酸性にする
acidity,酸性度
acidosis,アシドーシス
ACK,Acknowledge
acknowledge,認める
acknowledgement,承認
acknowledgment,承認
ACL,ACL
acme,頂点
acne,にきび
acolyte,アコライト
acorn,ドングリ
acoustic,音響
acquaint,知らせる
acquaintance,知り合い
acquiesce,黙従
acquiescence,黙諾
acquire,取得する
acquisition,買収
acquisitive,欲しがる
acquit,放免する
acquittal,無罪判決
ACR,ACR
acre,エーカー
acreage,エーカーでの広さ
acrid,鼻を突く
acrimonious,辛辣な
acrimony,とげとげしさ
acrobat,アクロバット
acrobatic,アクロバティック
acrobatics,曲芸
acronym,頭字語
Acropoli,アクロポリ
across,横断して
acrostic,アクロスティック
acrylamide,アクリルアミド
acrylic,アクリル
act,行為
actin,アクチン
acting,演技
actinic,化学線の
actinomycin,アクチノマイシン
action,アクション
actionable,実用的な
activate,活性化する
activated,活性化した
activation,アクティベーション
activator,活性剤
active,アクティブ
actively,積極的に
activism,行動主義
activist,活動家
activity,活動
actor,俳優
actress,女優
actual,実際
actuality,現実
actually,実際に
actuarial,生命表法による
actuary,保険数理士
acuity,鋭さ
acumen,洞察力
acupuncture,鍼
acus,針
acute,急性
acutely,鋭く
acyl,アシル
AD,AD
adage,格言
Adam,アダム
adamant,断固とした
adamantly,断固
adapt,適合させる
adaptability,適応性
adaptable,適合
adaptation,適応
adapter,アダプタ
adaptive,適応
adaptor,アダプタ
add,加える
added,追加された
addendum,補遺
adder,毒蛇
addict,中毒
addicted,はまって
addiction,中毒
addictive,中毒性の
addition,追加
additional,追加の
additionally,さらに
additive,添加剤
addled,addled
address,住所
addressed,対処
addressee,受取人
adduce,提示する
adduct,付加物
Aden,アデン
adenine,アデニン
adenocarcinoma,腺癌
adenoma,腺腫
adenosine,アデノシン
adenoviral,アデノウイルスの
adenovirus,アデノウイルス
adept,名人
adequacy,妥当性
adequate,十分な
adequately,適切に
ADHD,ADHD
adhere,接着する
adherence,アドヒアランス
adherent,付着した
adhesion,接着
adhesive,接着剤
adieu,別れ
adipocyte,含脂肪細胞
adipose,脂肪
adiposity,脂肪症
Adirondack,アディロンダック
adjacent,隣接
adjectival,形容詞の
adjective,形容詞
adjoin,継ぎ足す
adjoining,隣接している
adjourn,延期する
adjournment,延期
adjudicate,裁く
adjudicated,裁定
adjudication,裁定
adjunct,付属物
adjust,調整する
adjustable,アジャスタブル
adjusted,調整後
adjusting,調整の
adjustment,調整
adjuvant,アジュバント
adman,アドマン
admin,管理者
administer,管理する
administration,管理
administrative,行政の
administrator,管理者
admirable,立派な
admirably,見事に
admiral,提督
admiralty,海軍本部
admiration,称賛
admire,感心する
admirer,崇拝者
admissible,許容できる
admission,入場
admit,認める
admittance,入場許可
admittedly,確かに
admixture,混合
admonish,戒める
admonished,諭さ
admonition,訓戒
admonitory,admonitory
ado,騒ぎ
Adobe,アドビ
adolescence,青年期
adolescent,思春期の
Adolf,アドルフ
adopt,採用
adoptee,養子
adoption,採用
adoptive,採用の
adorable,愛らしい　
adoration,崇拝
adore,崇拝する
adored,崇拝
adorn,飾る
adornment,装飾品
ADR,ADR
adrenal,副腎の
adrenalectomized,副腎を切除された
adrenalectomy,副腎摘出
adrenalin,アドレナリン
adrenaline,アドレナリン
adrenergic,アドレナリン作動性の
Adriatic,アドリア海
adrift,漂流して
adroit,器用な
adroitly,巧み
adsorption,吸着
ADU,ADU
adulation,お世辞
adult,アダルト
adulterer,密通者
adulterous,姦通の
adultery,姦通
adulthood,成人期
advance,前進
advanced,高度な
advancement,進歩
advantage,利点
advantageous,有利
advantageously,有利に
advent,降臨
adventure,冒険
adventurer,冒険家
adventurism,冒険主義
adventurous,冒険好きな
adverb,副詞
adverbial,副詞の
adversarial,敵対的な
adversary,敵
adverse,不利な
adversely,逆に
adversity,逆境
advert,広告
advertise,広告を出す
advertisement,広告
advertiser,広告主
advice,アドバイス
advisability,可否
advisable,望ましい　
advise,アドバイス
adviser,顧問
advisor,顧問
advisory,アドバイザリー
advocacy,アドボカシー
advocate,提唱者
AE,AE
Aegean,エーゲ
Aegis,後援
aeon,イオン
aerate,通気する
aerated,通気した
aeration,エアレーション
aerial,アンテナ
aerie,巣
aero,エアロ
aerobic,好気的
aerodynamic,空気力学的な
aerodynamics,空気力学
aeronautic,航空
aeronautical,航空の
aeronautics,航空学
aeroplane,飛行機
aerosol,エアロゾル
aerospace,航空宇宙
aeruginosa,緑膿菌
Aesop,イソップ
aesthete,唯美主義者
aesthetic,美的
aesthetically,審美的に
aesthetics,美学
Aetna,エトナ山
AF,AF
AFAIK,私の知る限り
afar,遠く
affability,愛想の良さ
affable,優しい　
affair,出来事
affaire,出来事
affect,影響を及ぼす
affectation,気取り
affected,影響を受けた
affecting,影響
affection,愛情
affectionate,優しい　
affectionately,愛情を込めて
affective,感情の
afferent,求心性の
affidavit,宣誓供述書
affiliate,アフィリエイト
affiliated,付属
affiliation,所属
affinity,親和性
affirm,確認する
affirmation,肯定
affirmative,肯定的な
affix,貼る
affixed,貼り付け
afflict,苦しめる
affliction,苦悩
affluence,豊かさ
affluent,裕福な
afford,与える
affordability,値ごろ感
affordable,手頃な価格の
affront,侮辱
Affymetrix,アフィメトリクス
Afghan,アフガニスタンの
Afghanistan,アフガニスタン
aficionado,愛好家
afield,道に迷って
afire,燃えて
aflame,燃えて
afloat,海上に
afoot,進行中の
aforementioned,前述の
aforesaid,前述の
aforethought,故意
afoul,抵触
afraid,恐れて
afresh,新たに
Africa,アフリカ
African,アフリカの
Africana,アフリカーナ
Afrikaans,アフリカーンス語
afro,アフロ
aft,アフト
after,後に
aftereffect,後遺症
afterglow,残光
afterlife,死後の世界
aftermath,余波
afternoon,午後
aftershock,余震
aftertaste,後味
afterthought,結果論
afterward,その後
afterword,後書き
ag,株式会社
aga,AGA
again,再び
against,に対して
Agamemnon,アガメムノン
agape,口を開けて
agar,寒天
agarose,アガロース
agate,めのう(瑪瑙)
agave,リュウゼツラン
age,年齢
aged,老いた
agency,代理店
agenda,アジェンダ
agent,代理人
agglomeration,凝集
aggrandizement,誇張
aggravate,悪化させる
aggravating,困った
aggravation,悪化
aggregate,集計
aggregated,集約
aggregation,アグリゲーション
aggression,侵略
aggressive,攻撃的な
aggressively,積極的に
aggressiveness,攻撃性
aggressor,侵略者
aggrieved,権利を侵害された
aghast,びっくりして
agile,機敏な
agility,アジリティ
aging,老化
agitate,かき混ぜる
agitation,攪拌
agitator,アジテーター
agitprop,agitprop
aglow,輝いて
agnostic,不可知論者
agnosticism,不可知論
ago,前に
agog,うずうずして
agonist,作動薬
agonize,アゴナイズ
agonized,苦悶
agonizing,苦しい　
agony,苦痛
Agora,広場
Agra,アグラ
agrarian,農業の
agree,同意する
agreeable,快い　
agreeably,快く
agreement,合意
agribusiness,アグリビジネス
agricultural,農業の
agriculture,農業
Agringado,英西辞書
agrobacterium,土壌細菌
aground,座礁して
ah,ああ!
aha,なるほど
ahead,前もって
ahem,エヘン
ahh,ああ
Ahmed,アーメド
ahoy,おーい!
AI,人工知能
AIC,AIC
AICPA,AICPA
aid,援助
aide,側近
AIDS,エイズ
ail,エイル
ailing,病んでいる
ailment,病気
aim,狙い
AIMD,AIMD
Aimee,エイミー
aimless,漫然
air,空気
airborne,空中
airbus,エアバス
aircraft,航空機
Aire,アイレ
Aires,ブエノスアイレス
airfare,航空運賃
airfield,飛行場
airhead,変人
airing,放送
airless,風通しの悪い　
airlift,空輸
airline,航空会社
airliner,旅客機
airlock,エアロック
airman,飛行士
airplane,飛行機
airport,空港
airship,飛行船
airspace,領空
airstrike,空爆
airstrip,滑走路
airtight,気密の
airtime,放送時間
airwave,放送電波
airway,気道
airy,風通しの良い　
aisle,通路
ajar,少し開いて
AK,AK
AKA,AKA
Akbar,アクバル
akimbo,両手を腰に当てて
akin,同族の
AL,アラバマ州
ala,翼
Alabama,アラバマ州
alabaster,アラバスター
alacrity,乗り気
Alamo,アラモ
Alan,アラン
alanine,アラニン
alarm,アラーム
alarming,憂慮すべき
alarmingly,驚くほどに
alarmist,人騒がせ
Alaska,アラスカ州
Alaskan,アラスカの
Alba,アルバ
Albania,アルバニア
Albany,アルバニー
albatross,アホウドリ
albeit,とはいえ
Albert,アルバート
Alberta,アルバータ州
Albican,アルビカン
albinism,先天性白色症.白子
albino,アルビノ
Albright,オルブライト
album,アルバム
albumin,アルブミン
Albuquerque,アルバカーキ
Alcatel,アルカテル
Alcatraz,アルカトラズ
alchemist,錬金術師
alchemy,錬金術
Alcoa,アルコア
alcohol,アルコール
alcoholic,アルコール性の
alcoholism,アルコール依存症
Aldebaran,アルデバラン
aldehyde,アルデヒド
alder,アルダー
alderman,市会議員
ale,エール
alert,アラート
alertness,警戒心
Alex,アレックス
Alexander,アレクサンダー
Alexandria,アレクサンドリア
Alfa,アルファ
alfalfa,アルファルファ
Alfred,アルフレッド
alga,藻類
algae,藻類
algal,藻類の
Algarve,アルガルヴェ
algebra,代数
algebraic,代数の
Alger,アルジェ
Algeria,アルジェリア
Algerian,アルジェリアの
algo,アルゴ
algorithm,アルゴリズム
algorithmic,アルゴリズミック
Alhambra,アルハンブラ
alias,エイリアス
alibi,アリバイ
Alice,アリス
Alicium,Alicium
alien,エイリアン
alienate,遠ざける
alienation,疎外
alight,降る
align,整列する
alignment,アラインメント
alike,同様に
alimony,扶養手当
aliquot,アリコート
alive,生きている
ALK,ALK
alkali,アルカリ
alkaline,アルカリ性
alkalinity,アルカリ度
alkaloid,アルカロイド
all,すべて
allay,和らげる
