h,h
ha,ヘクタール
Haagen,ハーゲンダッツ
habeas,人身保護
habit,習慣
habitat,生息地
habitation,住まい
habitual,習慣的な
habitually,習慣的に
HACCP,HACCP
hacienda,ハシエンダ
hack,ハック
hacked,ハッキング
hacker,ハッカー
hackles,ハックル
Hackney,ハックニー
hackneyed,陳腐な
hacksaw,弓のこ
haddock,ハドック
Hadrian,ハドリアヌス
haemodynamic,血行動態
haemophilus,ヘモフィルス
haemorrhage,出血
hag,鬼婆
haggard,やつれた
haggis,ハギス
haggle,値切る
hagiography,聖人伝
Hague,ハーグ
Hahn,ハーン
Haifa,ハイファ
haiku,俳句
hail,雹
hailstorm,あられを伴う嵐
hair,髪
hairbrush,ヘアブラシ
haircut,散髪
hairdo,髪型
hairdresser,美容師
haired,毛のある
hairless,毛のない
hairline,ヘアライン
hairpin,ヘアピン
hairspray,ヘアスプレー
hairstyle,ヘアスタイル
hairy,毛深い　
Haiti,ハイチ
Haitian,ハイチ人
hajj,メッカ巡礼
hake,メルルーサ
hakim,ハキーム
HAL,HAL
halcyon,ハルシオン
hale,かくしゃくとした
half,半分
halfback,ハーフバック
halfhearted,halfhearted
halftime,ハーフタイム
halfway,途中で
halibut,オヒョウ
Halifax,ハリファックス
hall,ホール
Halle,ハレ
hallelujah,ハレルヤ
Halley,ハレー
Halliburton,ハリバートン
hallmark,顕著な特徴
hallo,ハロー
hallowed,神聖な
Halloween,ハロウィーン
hallucinate,幻覚を起こす
hallucination,幻覚
hallucinatory,幻覚の
hallucinogen,幻覚剤
hallway,廊下
halo,ハロー
halobacterium,好塩菌
halogen,ハロゲン
halt,停止
halter,ホルター
halve,半減させる
ham,ハム
Hamas,ハマス
Hamburg,ハンブルク
hamburger,ハンバーガー
Hamilton,ハミルトン
Hamlet,ハムレット
hammer,ハンマー
hammock,ハンモック
hamper,妨げる
Hampshire,ハンプシャー
hamster,ハムスター
hamstring,ハムストリング筋
Han,ハン
Hancock,ハンコック
hand,手
handbag,ハンドバッグ
handball,ハンドボール
handbook,ハンドブック
handcuff,手錠
handcuffs,手錠
Handel,ヘンデル
handful,一握り
handgun,拳銃
handheld,ハンドヘルドの
handhold,握り
handicap,ハンディキャップ
handicapped,障害者
handicraft,手工芸品
handily,手近に
handiwork,手仕事
handkerchief,ハンカチ
handle,ハンドル
handlebar,ハンドルバー
handler,トレーナー
handling,取り扱い
handmade,手作り
handmaiden,侍女
handoff,渡す
handout,資料
handover,引き渡す
handrail,手すり
handset,送受話器
handshake,握手
handsome,ハンサム
handsomely,気前よく
handstand,逆立ち
handwork,手仕事
handwriting,手書き
handwritten,手書きの
handy,便利
handyman,便利屋
hang,ハング
hangar,格納庫
hangdog,hangdog
hanger,ハンガー
hanging,ハンギング
hangman,絞首刑執行人
hangout,たむろする
hangover,二日酔い
hangup,電話を切る
hank,糸の束
hanker,hanker
hanky,ハンカチ
Hannibal,ハンニバル
Hanover,ハノーバー
Hansel,ヘンゼル
hanukkah,ハヌカー
hap,偶然
haphazard,行き当たりばったり
hapless,不運な
haploid,半数体
haplotype,ハプロタイプ
haplotypic,ハプロタイプ
happen,起こる
happening,ハプニング
happenstance,偶然の出来事
happier,幸せ
happiest,幸せな
happily,楽しく
happiness,幸福
happy,幸せな
Hapsburg,ハプスブルグ
harangue,説教
harass,悩ませる
harassment,嫌がらせ
harbinger,前触れ
harbor,港
harbored,心に抱いた
harbour,港
hard,ハード
hardback,ハードカバー
hardball,真剣勝負
hardcover,ハードカバー
harden,固まる
harder,もっと強く
hardest,最も難しい　
hardhat,ヘルメット
hardheaded,冷静な
hardhearted,hardhearted
hardiness,頑健さ
hardly,漸く
hardness,硬度
hardscrabble,不毛の
hardship,苦難
hardtack,乾パン
hardware,ハードウェア
hardwood,ハードウッド
hardworking,勤勉な
hardy,ハーディ
hare,野ウサギ
harem,ハーレム
Harford,ハーフォード
hark,ハーク
harken,ハーケン
Harlem,ハーレム
Harlequin,ハーレクイン
harm,害
harmful,有害な
harmless,無害の
harmonic,高調波
harmonica,ハーモニカ
harmonious,調和の取れた
harmonize,調和させる
harmony,ハーモニー
harness,ハーネス
harnessed,活かされた
Harold,ハロルド
harp,ハープ
Harper,ハーパー
harpoon,銛
harpsichord,ハープシコード
harpy,ハーピー
harridan,悪婆
Harris,ハリス
Harrison,ハリソン
harrowing,悲惨な
harrumph,咳払い
Harry,ハリー
harsh,厳しい　
harsher,より厳しい　
harshest,最も厳しい　
harshly,厳しく
harshness,厳しさ
hart,ハート
Hartford,ハートフォード
Harvard,ハーバード
harvest,収穫
harvester,ハーベスタ
harvesting,収穫
hash,ハッシュ
hashish,ハシシ
Hasidic,ハシディーム派の
hassle,口論
hast,hast
haste,ヘイスト
hasten,早める
hastily,急いで
hasting,ヘイスティングス
hasty,性急な
hat,帽子
hatch,ハッチ
hatchback,ハッチバック
hatchery,孵化場
hatchet,手おの
hate,嫌い
hated,憎まれた
hateful,憎らしい　
hater,嫌う人
hath,かれら
Hathaway,ハサウェイ
hatred,憎悪
haughtiness,傲慢
haughty,横柄な
haul,ホール
hauler,運送業者
haunch,臀部(でんぶ)
haunt,出没する
haunted,取りつかれた
haunting,たたり
haute,高級な
hauteur,横柄
Havana,ハバナ
have,持っている
haven,避難所
haver,所有者
haves,富裕層
having,た
havoc,大混乱
haw,サンザシ
Hawaii,ハワイ
Hawaiian,ハワイの
hawk,鷹
hawker,ホーカー
Hawking,ホーキング
hawkish,タカ派の
hawser,大綱
hawthorn,サンザシ
hay,干し草
Hayden,ハイデン
Haydn,ハイドン
hayfield,茅場
haystack,干し草の山
haywire,気の狂った
hazard,危険
hazardous,危険な
haze,もや
hazel,ハシバミ
hazelnut,ヘーゼルナッツ
hazelwood,ヘーゼルウッド
hazy,かすんだ
HB,水素爆弾
HBO,HBO
HCl,塩酸
HD,HD
HDTV,HDTV
he,彼
head,頭
headache,頭痛
headband,ヘッドバンド
headdress,かぶりもの
header,ヘッダ
headfirst,真っ逆さまに
headgear,ヘッドギア
heading,見出し
headland,岬
headless,頭のない
headlight,ヘッドライト
headline,見出し
headliner,天井
headlong,真っ逆さまに
headman,首長
headmaster,校長
headphone,ヘッドホン
headpiece,かぶと
headquartered,本社を置く
headquarters,本部
headset,ヘッドセット
headstand,逆立ち
headstone,墓石
headstrong,頑固な
headway,前進
headwind,向かい風
headword,見出語
heady,酔わせる
heal,癒す
healer,治療師
healing,ヒーリング
health,健康
healthcare,健康管理
healthful,健康に良い　
healthier,健康的
healthily,健康に
healthy,健康
heap,積み上げる
hear,聞く
hearer,聞き手
hearing,公聴会
hearken,耳を傾ける
hearsay,伝聞
hearse,霊柩車
Hearst,ハースト
heart,心臓
heartache,心痛
heartbeat,ハートビート
heartbreak,失恋
heartbroken,悲しみに満ちた
heartburn,胸焼け
hearten,勇気づける
heartfelt,心からの
hearth,囲炉裏
heartily,心から
heartland,ハートランド
heartless,無情な
heartstrings,心の琴線
heartthrob,憧れの的
hearty,心のこもった
heat,熱
heated,加熱
heater,ヒーター
heath,ヒース
heathen,異教徒
heather,ヒース
heating,加熱
heatstroke,日射病
heave,ヒーブ
heaven,天国
heavenly,天
heavier,重い　
heaviest,最も重い
heavily,重く
heaviness,重さ
heavy,重い　
heavyweight,ヘビー級
Hebrew,ヘブライ語
Hebron,ヘブロン
HEC,HEC
heck,一体
heckle,野次る
heckler,ヘクラー
hectare,ヘクタール
hectic,目まぐるしい　
hector,ヘクター
hedge,ヘッジ
hedgehog,ハリネズミ
hedgerow,生け垣
hedonism,快楽主義
hedonist,快楽主義者
hedonistic,快楽の
heed,留意
heedless,無頓着な
heel,ヒール
heft,重さ
hefty,高額の
hegemony,覇権
heh,あわや
Heidi,ハイディ
heifer,雌牛
height,高さ
heighten,高める
heil,ハイル
heinous,凶悪な
Heinz,ハインツ
heir,相続人
heiress,女相続人
heirloom,家宝
Heisenberg,ハイゼンベルク
heist,強盗
Hekmatyar,ヘクマチアル
Hela,ヒーラ
held,催した
Helen,ヘレン
Helena,ヘレナ
helical,ヘリカル
helicase,ヘリカーゼ
helicobacter,ヘリコバクター属
helicopter,ヘリコプター
heliocentric,太陽中心の
helium,ヘリウム
helix,らせん
hell,地獄
Hella,ヘラー
hellacious,ものすごい　
Hellenic,ギリシャの
Hellenism,ヘレニズム文明
Hellenistic,ヘレニズムの
heller,ヘラー
hellish,地獄のような
Hellmouth,Hellmouth
hello,こんにちは
helm,ヘルム
helmet,ヘルメット
helmsman,ヘルムスマン
help,助けて
helper,ヘルパー
helpful,役立つ
helpfully,親切
helping,助け
helpless,無力な
helplessly,どうしようもなく
helplessness,無力
Helsinki,ヘルシンキ
hem,縁
hemagglutinin,赤血球凝集素
hematologist,血液学者
hematoma,血腫
hematopoietic,造血
hematoxylin,ヘマトキシリン
heme,ヘム
Hemingway,ヘミングウェイ
hemisphere,半球
hemline,ヘムライン
hemlock,ヘムロック
hemochromatosis,ヘモクロマトーシス
hemodialysis,血液透析
hemodynamic,血流力学の
hemoglobin,ヘモグロビン
hemophiliac,血友病患者
hemorrhage,出血
hemorrhagic,出血
hemorrhoid,痔
hemp,麻
hen,めんどり
hence,従って
henceforth,今後
henchman,子分
henna,ヘナ
Henry,ヘンリー
hep,肝炎
heparin,ヘパリン
heparinized,ヘパリン化された
heparitinase,ヘパリチナーゼ
hepatic,肝臓の
hepatitis,肝炎
hepatobiliary,肝胆汁性の
hepatocellular,肝細胞の
hepatocyte,肝細胞
her,彼女の
Hera,ヘラ
Heracles,ヘラクレス
herald,ヘラルド
heraldic,紋章の
herb,ハーブ
herbal,ハーブの
herbalist,漢方医
Herbert,ハーバート
herbicide,除草剤
herbivore,草食動物
Herculean,非常に困難な
Hercules,ヘラクレス
herd,群れ
herded,群れた
here,ここに
hereabout,このあたりに
hereafter,以後
hereby,これによって
hereditary,遺伝性の
heredity,遺伝
herein,ここに
hereinafter,以下
heresy,異端
heretic,異端者
heretical,異端の
heretofore,これまで
herewith,これにより
heritability,遺伝可能性
heritable,遺伝性の
heritage,遺産
Herman,ハーマン
hermaphrodite,雌雄同体
hermetic,密封した
hermetically,密閉して
hermit,仙人
hermitage,庵
hernia,ヘルニア
hero,ヒーロー
Herod,ヘロデ王
heroic,ヒロイック
heroically,雄々しく
heroics,英雄
heroin,ヘロイン
heroine,ヒロイン
heroism,ヒロイズム
heron,鷺
herpes,ヘルペス
herpesvirus,ヘルペスウイルス
herring,ニシン
Herron,ヘロン
hers,彼女の物
herself,彼女自身
Hershey,ハーシー
herstory,herstory
hertz,ヘルツ
HESC,HESC
hesitancy,ためらい
hesitant,気乗りしない
hesitate,ためらう
hesitated,躊躇
hesitation,ためらい
het,ヘタ
hetero,ヘテロ
heterochromatic,異色の
heterochromatin,ヘテロクロマチン
heterodimer,ヘテロ二量体
heterodox,異端の
heterogeneity,異質
heterogeneous,異質
heterologous,異種の
heteronym,heteronym
heterosexual,異性愛者
heterosexuality,異性愛
heterozygosity,ヘテロ接合
heterozygote,ヘテロ接合体
heterozygous,ヘテロ接合の
heuristic,ヒューリスティック
hew,ヒュー
Hewitt,ヒューイット
Hewlett,ヒューレット
hex,16進法
hexagonal,六角
hexamer,六量体
hexane,ヘキサン
hey,ちょっと
heyday,全盛期
Hezbollah,ヒズボラ
HF,HF
Hg,HG
HH,HH
HI,HI
hiatus,中断
hibernate,冬眠する
hibernation,冬眠
hibiscus,ハイビスカス
hiccup,しゃっ??くり
hick,ヒック
hickey,キスマーク
hickory,ヒッコリー
hidalgo,イダルゴ
hidden,隠された
hide,隠す
hideaway,隠れ家
hidebound,偏狭な
hideous,恐ろしい　
hideously,恐ろしいほどに
hideout,隠れ家
hiding,隠蔽
hie,hie
hierarchical,階層的な
hierarchy,階層
hieroglyph,ヒエログリフ
hieroglyphic,象形文字
high,高い　
highball,ハイボール
highbrow,高尚な
higher,より高い
highest,最高
highland,高地
highlander,ハイランダー
highlight,ハイライト
highly,高度に
highness,殿下
highschool,高校
highway,高速道路
highwayman,追いはぎ
hijack,ハイジャック
hijacked,ハイジャック
hijacker,ハイジャック犯
hijacking,ハイジャック
hike,ハイキング
hiker,ハイカー
hiking,ハイキング
HIL,HIL
hilarious,陽気な
hilariously,陽気に
hilarity,はしゃぎ
Hilary,ヒラリー
hill,丘
Hillary,ヒラリー
hillbilly,田舎者
hillock,ヒロック
hillside,丘の中腹
hilltop,丘の頂上
hilly,起伏のある
hilt,柄
Hilton,ヒルトン
him,彼に
Himalaya,ヒマラヤ山脈
Himalayan,ヒマラヤ山脈の
himself,彼自身
hind,ハインド
hinder,妨げる
Hindi,ヒンディー語
Hindiii,HINDIII
hindrance,支障
hindsight,後知恵
Hindu,ヒンドゥー教の
Hinduism,ヒンドゥー教
hinge,ヒンジ
hinged,ヒンジ結合
hint,ヒント
hinterland,後背地
hip,ヒップ
hippie,ヒッピー
hippo,カバ
hippocampal,海馬の
hippocampus,海馬
hippodrome,馬術競技場
hippopotamus,カバ
hippy,尻の
hipster,ヒップスター
hire,雇う
hiring,雇用
Hiroshima,広島
hirsute,毛深い
his,彼の
Hispanic,ヒスパニック
Hispano,イスパノ
hiss,ヒス
hist,シーッ
histamine,ヒスタミン
histo,ヒスト
histochemical,組織化学的な
histochemistry,組織化学
histocompatibility,組織適合性
histogram,ヒストグラム
histologic,組織学的な
histological,組織学的な
histologically,組織学的に
histology,組織学
histone,ヒストン
histopathological,組織病理学的な
histopathology,組織病理学
historian,歴史家
historic,歴史的
historical,歴史的
historically,歴史的に
historiography,歴史学
history,歴史
histrionic,わざとらしい　
histrionics,演技
hit,ヒット
hitch,ヒッチ
Hitchcock,ヒッチコック
hitchhike,ヒッチハイク
hitchhiker,ヒッチハイカー
hither,こちらへ
hitherto,これまで
Hitler,ヒトラー
hitter,打者
hitting,ヒッティング
Hittite,ヒッタイト
HIV,HIV
hive,ハイブ
hiya,やあ！
HK,香港
HL,HL
HLA,HLA
hm,うーん
HMG,HMG
hmm,うーん
HMO,HMO
HN,ホンジュラス
ho,ホー
hoard,買いだめ
hoarding,買いだめ
hoarse,ハスキー
hoary,白髪の
hoax,でっち上げ
hob,ホブ
hobble,足を引きずって歩く
hobby,趣味
hobgoblin,お化け
hobnob,親しく付き合う
hobo,ホーボー
hoc,アドホック
hock,ホック
hockey,ホッケー
hocus,ホーカス
hodgepodge,寄せ集め
hoe,鍬
Hoechst,ヘキスト
Hoffman,ホフマン
hog,豚
hogan,ホーガン
hogg,ホッグ
hogwash,ナンセンス
hoist,ホイスト
hokey,陳腐な
Hokkaido,北海道
hokum,いんちき商品
hold,ホールド
