f,f
fa,ファ
FAA,FAA
fab,ファブ
fable,寓話
fabled,伝説的な
fabric,ファブリック
fabricate,作る
fabrication,製作
fabulist,寓話作者
fabulous,素晴らしい　
fabulously,途方もなく
FAC,FAC
facade,ファサード
face,顔
faceless,顔のない
facelift,美容整形術
facet,ファセット
facetious,ひょうきんな
facial,フェイシャル
facile,容易な
facilitate,促進する
facilitated,促進
facilitator,進行役
facility,施設
facing,対向
facscalibur,のFACSCalibur
facsimile,ファクシミリ
fact,事実
faction,派閥
factionalism,派閥争い
facto,ファクト
factoid,疑似事実
factor,要因
factored,因数分解
factory,工場
factual,事実に基づく
faculty,学部
fad,流行
fade,フェード
fading,退色
faerie,稀代の
fag,たばこ
faggot,ホモ
fahrenheit,華氏
fail,失敗する
failed,失敗した
failing,失敗
failure,失敗
fain,フェイン
faint,気絶する
fainted,気絶
faintest,皆目
fainthearted,臆病者
fainting,失神
faintly,かすかに
fair,フェア
Fairbank,フェアバンク
faire,フェア
fairer,公平
Fairfax,フェアファックス
Fairfield,フェアフィールド
fairground,催事会場
fairly,かなり
fairness,公正
Fairport,フェアポート
fairway,フェアウェイ
fairy,妖精
fairyland,おとぎの国
fairytale,おとぎ話
fait,既成事実
faith,信仰
faithful,忠実な
faithfully,忠実に
faithfulness,忠実
faithless,不実な
Fajita,ファヒータ
fake,偽
faker,的屋
falciparum,熱帯熱マラリア原虫
falcon,ファルコン
falconer,鷹匠
Falkland,フォークランド
fall,秋
fallacious,誤った
fallacy,誤謬
fallback,後退する
fallen,落ちた
fallible,当てにならない
falling,落下
fallout,フォールアウト
fallow,休閑
false,偽
falsehood,偽り
falsely,偽って
falsetto,ファルセット
falsify,偽る
falsity,虚偽
falter,つまずく
fam,家族
fame,名声
famed,有名な
famer,殿堂入り
familial,家族の
familiar,おなじみの
familiarity,親しみやすさ
familiarize,親しませる
family,家族
famine,飢きん
famous,有名な
famously,有名
fan,ファン
fanatic,狂信的な
fanatical,狂信的な
fanaticism,狂信
fanboy,おたく
fancied,架空の
fancier,愛好家
fanciful,架空
fancy,ファンシー
fandango,ファンダンゴ
fandom,ファンの世界
fanfare,ファンファーレ
fanfic,fanfic
fang,牙
fangirl,ファンの女の子
fannish,fannish
fanny,ファニー
fantasia,ファンタジア
fantasize,空想にふける
fantastic,素晴らしい
fantasy,ファンタジー
fantasyland,ファンタジーランド
fanwank,fanwank
FAO,FAO
FAQ,よくある質問
far,遠く
faraway,遠く
farce,茶番
farcical,ばかげた
fare,運賃
farewell,別れ
farfetched,こじつけの
farina,穀粉
farm,ファーム
farmed,養殖された
farmer,農家
farmhouse,ファームハウス
farming,農業
farmland,農地
farmworker,農場労働者
farmyard,農家の庭
faro,ファロ
farrago,farrago
farrow,ファロー
Farscape,ファースケープ
farsighted,先見の明のある
farsightedness,遠視
fart,おなら
farther,遠い　
farthest,最も遠い　
FASAB,FASAB
fascia,筋膜
fascicle,束
fascinate,魅了する
fascinating,魅惑的な
fascination,魅力
fascism,ファシズム
fascist,ファシスト
fashion,ファッション
