Lemma
（見出し語）,l
l,LA
LA,ラボ
lab,ラベル
label,標識された
labeled,ラベルを貼った
labelled,唇の
labial,不安定な
labile,労働
labor,実験室
laboratory,苦しい　
labored,労働者
laborer,骨の折れる
laborious,苦労して
laboriously,労働
labour,労働者
labourer,ラブラドール
Labrador,ラビリンス
labyrinth,迷路のような
labyrinthine,ラック
lac,レース
lace,裂く
lacerate,裂傷
laceration,不足
lack,やる気のない
lackadaisical,召使い
lackey,欠けている
lacking,精彩を欠いた
lackluster,簡潔な
laconic,ラッカー
lacquer,漆塗り
lacquered,漆器
lacquerware,ラクロス
lacrosse,乳酸塩
lactate,乳酸
lactic,乳糖
lactose,脱落
lacuna,レイシー
lacy,LacZを
LacZ,若者
lad,はしご
ladder,沢山抱えた
laden,ラディン
Ladin,ひしゃく
ladle,女性
lady,テントウムシ
ladybird,てんとう虫
ladybug,レディーフィンガー
ladyfinger,奥様
ladyship,ラファイエット
Lafayette,ラグ
lag,ラガー
lager,のろま
laggard,遅れ
lagging,ラグーン
lagoon,潟
laguna,ラホール
Lahore,レイド
laid,レイン
lain,隠れ家
lair,レアード
laird,俗人
laity,湖
lake,レークランド
Lakeland,湖畔
lakeside,逃走
lam,ラマ
lama,子羊
lamb,がみがみ言う
lambast,ラムダ
lambda,ラメ
lame,嘆く
lament,嘆かわしい　
lamentable,嘆き
lamentation,薄層
lamina,層状
laminar,ラミネート
laminate,ラミニン
laminin,ランプ
lamp,ランプーン
lampoon,街灯柱
lamppost,ランプのかさ
lampshade,LAN
LAN,ランス
lance,ランセット
lancet,土地
land,ランドー
landau,上陸
landfall,埋め立て
landfill,着陸
landing,女将
landlady,内陸の
landlocked,家主
landlord,新米の船員
landlubber,ランドマーク
landmark,地主
landowner,風景
landscape,手入れの行き届いた
landscaped,造園
landscaping,地滑り
landslide,LANE
lane,ランゲルハンス
Langerhans,言語
language,ラング
langue,だるい　
languid,しおれる
languish,だるさ
languor,気だるい　
languorous,スリランカ
Lanka,スリランカ
Lankan,ひょろひょろ
lanky,ランタン
lantern,ラオス
Lao,ラップ
lap,lapdog
lapdog,ラペル
lapel,宝石細工の
lapidary,ラパン
lapin,失効
lapse,ノートパソコン
laptop,窃盗
larceny,ラード
lard,大
large,主として
largely,より大きい
larger,贈り物
largess,寛大さ
largesse,最大
largest,やや大きい　
largish,ラルゴ
largo,ラリアット
lariat,ヒバリ
lark,ラリー
Larry,幼生
larva,幼虫の
larval,喉頭
larynx,ラザニア
lasagna,みだらな
lascivious,みだらに
lasciviously,レーザー
laser,ラッシュ
lash,小娘
lass,ラッサ
lassa,ラッシー
lassie,無気力
lassitude,投げ縄
lasso,最後の
last,持続的な
lasting,最後に
lastly,lat
lat,ラッチ
latch,遅い　
late,遅刻者
latecomer,最近
lately,待ち時間
latency,潜在的な
latent,後で
later,側面
lateral,左右差
laterality,最新
latest,ラテックス
latex,旋盤
lathe,泡
lather,ラテン
Latin,ラテンアメリカ人
Latino,緯度
latitude,トイレ
latrine,後者
latter,格子
lattice,ラトビア
Latvia,称賛
laud,称賛に値する
laudable,アヘンチンキ
laudanum,賛美の
laudatory,笑い
laugh,ばかばかしい　
laughable,ばかばかしいほど
laughably,笑い
laughing,笑いもの
laughingstock,笑い
laughter,打ち上げ
launch,ランチャー
launcher,発射
launching,洗濯する
launder,洗浄
laundering,コインランドリー
Laundromat,ランドリー
laundry,ローラ
Laura,受賞者
laureate,月桂樹
laurel,ローレン
Lauren,ローレンス
Laurence,溶岩
lava,洗浄
lavage,トイレ
lavatory,ラベンダー
lavender,海苔
laver,豪華な
lavish,惜しげなく
lavishly,法律
law,合法的
lawful,合法的に
lawfully,無法の
lawless,不法
lawlessness,立法者
lawmaker,立法
lawmaking,芝生
lawn,芝刈り機
lawnmower,ローレンス
Lawrence,訴訟
lawsuit,弁護士
lawyer,lawyering
lawyering,緩い　
lax,下剤
laxative,弛緩
laxity,横たえる
lay,層
layer,素人
layman,一時解雇する
layoff,レイアウト
layout,待ち合わせ
layover,過ごす
laze,なまけて
lazily,怠惰
laziness,怠惰な
lazy,ポンド
lb,LC
LC,LCP
LCP,LD
LD,LDL
LDL,LE
LE,リー
lea,浸出する
leach,鉛
lead,有鉛の
leaded,鉛色の
leaden,リーダー
leader,リーダーシップ
leadership,リーディング
leading,リードオフ
leadoff,リード
leads,葉
leaf,リーフレット
leaflet,葉に覆われた
leafy,リーグ
league,リーガー
leaguer,リア
Leah,リーク
leak,漏れ
leakage,漏れやすい　
leaky,忠実な
leal,よりかかる
lean,傾斜
leaning,跳躍
leap,馬跳び
leapfrog,リア王
Lear,学ぶ
learn,学んだ
learned,学習者
learner,学習
learning,学んだ
learnt,リース
lease,リーシュ
leash,賃借
leasing,最低
least,レザー
leather,革のような
leathery,残す
leave,パン種
leaven,退出
leaving,レバノン人
Lebanese,レバノン
Lebanon,好色な男
lech,レチェ
leche,好色な
lecherous,レシチン
lecithin,講義
lecture,講師
lecturer,レッジ
ledge,元帳
ledger,リー
lee,リーチ
leech,ニラネギ
leek,流し目
leer,疑い深い　
leery,ゆとり
leeway,左
left,leftie
leftie,左翼
leftist,残りの
leftover,残り物
leftovers,左方向に
leftward,左利きの
lefty,脚
leg,レガシー
legacy,法的
legal,律法主義
legalism,律法主義の
legalistic,合法性
legality,合法化
legalization,合法化する
legalize,合法化
legalized,合法的に
legally,公使館
legation,伝説
legend,伝説の
legendary,元帳
leger,曲芸
legerdemain,脚の
legged,脚の長い　
leggy,読みやすい　
legible,軍団
legion,法制化する
legislate,法律
legislation,立法の
legislative,国会議員
legislator,議会
legislature,正当性
legitimacy,正当な
legitimate,合法的に
legitimately,正当化する
legitimize,マメ科植物
legume,リーマン
Lehman,レイ
lei,ライカ
Leica,リー
Leigh,レジャー
leisure,悠長
leisurely,リース
Leith,ライトモチーフ
leitmotif,補題
lemma,レミング
lemming,レモン
lemon,レモネード
lemonade,キツネザル
lemur,貸す
lend,貸手
lender,融資
lending,長さ
length,長くする
lengthen,縦に
lengthwise,長い　
lengthy,寛大
leniency,寛大な
lenient,レーニン主義者
Leninist,レノン
Lennon,レノ
leno,レンズ
lens,レント
lent,レンズ状の
lenticular,レンチキュラ
Lenticule,レンズ豆
lentil,レオ
Leo,レオン
Leon,レナード
Leonard,レオナルド
Leonardo,ヒョウ
leopard,レオタード
leotard,ハンセン病患者
leper,レプラコーン
leprechaun,ハンセン病
leprosy,レプチン
leptin,レズビアン
lesbian,病変
lesion,レソト王国
Lesotho,もっと少なく
less,賃借人
lessee,減少させる
lessen,軽減
lessened,より少ない
lesser,レッスン
lesson,賃貸人
lessor,しないように
lest,させる
let,失望させる
letdown,致死
lethal,致死性
lethality,無気力
lethargic,無気力
lethargy,レーテ
Lethe,手紙
letter,レターヘッド
letterhead,レターマン
letterman,レタス
lettuce,白血病
leukemia,白血病性の
leukemic,白血球
leukocyte,ロイペプチン
Leupeptin,挙筋
levator,堤防
levee,レベル
level,レバー
lever,活用する
leverage,レバレッジ
leveraged,レビ
Levi,リヴァイアサン
Leviathan,空中浮揚させる
levitate,軽さ
levity,課税
levy,みだらな
lewd,ルインスキー
Lewinsky,ルイス
Lewis,ルイスヴィル
Lewisville,LEX
lex,語彙素
lexeme,語彙の
lexical,辞書編集者
lexicographer,辞書編集の
lexicographic,辞書編集
lexicography,レキシントン
Lexington,lexique
lexique,LF
LF,LH
LH,ヒースロー空港
LHR,負債
liability,責任
liable,連絡
liaison,うそつき
liar,献酒
libation,ウーマンリブの運動家
libber,名誉毀損
libel,中傷的な
libelous,リベラル
liberal,自由主義
liberalism,自由化
liberalization,自由化する
liberalize,自由に
liberally,解放する
liberate,解放する
liberating,解放
liberation,解放者
liberator,リベリア
Liberia,自由主義者
libertarian,リバタリアニズム
libertarianism,放蕩者
libertine,自由
liberty,肉欲的な
libidinous,性欲
libido,自由
libitum,天秤座
Libra,司書
librarian,ライブラリ
library,台本
libretto,リビア
Libya,リビアの
Libyan,ライセンス
licence,ライセンス
license,ライセンシー
licensee,ライセンシング
licensing,勝手気ままな
licentious,地衣
lichen,リヒテンシュタイン
Lichtenstein,なめる
lick,嘗めた 
licked,なめること
licking,甘草
licorice,蓋
lid,保養地
Lido,うそ
lie,lief
lief,リエージュ
liege,先取特権
lien,代わり
lieu,中尉
lieutenant,生活
life,活力源
lifeblood,救命ボート
lifeboat,ライフガード
lifeguard,活気のない
lifeless,実物そっくりな
lifelike,ライフライン
lifeline,生涯にわたる
lifelong,命の恩人
lifesaver,救命
lifesaving,寿命
lifespan,ライフスタイル
lifestyle,一生
lifetime,リフィー川
Liffey,リフト
lift,持ち上げ
lifting,靱帯
ligament,リガンド
ligand,(強く)縛ること
ligate,連結した
ligated,ライゲーション
ligation,リガチャー
ligature,光
light,電球
lightbulb,明るくする
lighten,ライター
lighter,目まい
lightheaded,快活な
lighthearted,灯台
lighthouse,照明
lighting,軽く
lightly,明度
lightness,ライトニング
lightning,軽量
lightweight,好ましい
likable,様
like,好かれる
likeable,可能性
likelihood,恐らく
likely,たとえる
liken,肖像
likeness,同類
likes,同様に
likewise,リクード
Likud,ライラック
lilac,Lilah
Lilah,リリパット人
lilliputian,リリー
Lilly,LILO
LILO,軽快な動き
lilt,軽快な
lilting,ユリ
lily,リマ
Lima,四肢
limb,前車
limber,リンボー
limbo,ライム
lime,ライムハウス
Limehouse,ライムライト
limelight,リメリック
limerick,石灰岩
limestone,英国の
limey,リミット
limit,制限
limitation,限られた
limited,無制限
limitless,のLiMn
limn,リムジン
limo,リムジン
limousine,リンプ
limp,カサガイ
limpet,透明な
limpid,limply
limply,要
linchpin,リンカーン
Lincoln,リンダ
Linda,リンドバーグ
Lindbergh,シナノキ
linden,ライン
line,系統
lineage,直系の
lineal,リニア
linear,直線性
linearity,線形化
linearized,直線的に
linearly,ラインバッカー
linebacker,ラインマン
lineman,リネン
linen,ライナー
liner,並ぶ
lineup,リング
ling,リンガー
linger,居残った
lingered,ランジェリー
lingerie,残る
lingering,専門用語
lingo,舌
lingua,舌の
lingual,言語学者
linguist,言語の
linguistic,言語学的に
linguistically,言語学
linguistics,ライニング
lining,リンク
link,リンケージ
linkage,連結された
linked,リンカー
linker,リノリウム
linoleum,糸くず
lint,まぐさ
lintel,リナックス
Linux,ライオン
lion,持て囃す
lionize,リップ
lip,脂質
lipid,リポフェクタミン
lipofectamine,リポ多糖類
lipopolysaccharide,リポタンパク質
lipoprotein,脂肪吸引術
liposuction,リッポ
Lippo,口紅
lipstick,液化する
liquefy,リキュール
liqueur,液体
liquid,清算する
liquidate,清算
liquidation,流動性
liquidity,酒
liquor,リラ
lira,リサ
Lisa,リスボン
Lisbon,リスプ
lisp,しなやかな
lissome,リスト
list,記載された
listed,聴く
listen,リスナー
listener,リスニング
listening,リスター
lister,リステリア菌
Listeria,リスト
listing,物憂げな
listless,力なく
listlessly,メーリングリスト
listserv,リスト
Liszt,リット
lit,嘆願
litany,ライト
lite,リットル
liter,リテラシー
literacy,リテラル
literal,文字通り
