r,RA
RA,ラビ
Rabbi,ウサギ
rabbit,暴徒
rabble,狂犬病の
rabid,狂犬病
rabies,アライグマ
raccoon,レース
race,競馬場
racecourse,競走馬
racehorse,レーサー
racer,競馬
races,競馬場
racetrack,レイチェル
Rachel,人種的
racial,人種差別主義
racialism,人種
racially,レーシング
racing,人種差別
racism,人種差別主義者
racist,ラック
rack,ラケット
racket,ごろつき
racketeer,たかり
racketeering,話し上手な人
raconteur,ラケット
racquet,ラケットボール
racquetball,際どい
racy,rad
rad,レーダー
radar,ラジアル
radial,輝き
radiance,晴れやかな
radiant,にこやかに
radiantly,放射する
radiate,放射線
radiation,ラジエーター
radiator,ラジカル
radical,急進主義
radicalism,根本的に
radically,ラジオ
radio,放射性
radioactive,放射能
radioactivity,無線周波数
radiofrequency,レントゲン写真
Radiograph,X線写真の
radiographic,X線撮影法
radiography,放射性標識
radiolabeled,放射性物質の
radiological,放射線科医
radiologist,放射線学
radiology,放射線治療
radiotherapy,大根
radish,ラジウム
radium,半径
radius,ラドン
radon,RAF
RAF,がさつな
raffish,ラッフル
raffle,いかだ
raft,垂木
rafter,ぼろ
rag,激怒
rage,ぼろぼろの
ragged,荒れ狂う
raging,みすぼらしい　
ragtag,ラグタイム
ragtime,フレー！
rah,レイド
raid,乗っ取り屋
raider,レール
rail,レール付き
railed,手すり
railing,鉄道
railroad,鉄道
railway,雨
rain,虹
rainbow,レインコート
raincoat,雨滴
raindrop,降雨
rainfall,熱帯雨林
rainforest,レインメーカー
rainmaker,暴風雨
rainstorm,雨水
rainwater,雨の
rainy,上げる
raise,隆起した
raised,調達者
raiser,レーズン
raisin,調達
raising,存在理由
raison,統治
raj,ラージャ
Raja,ラジャ
Rajah,ラージプート族
Rajput,レーキ
rake,粋な
rakish,ローリー
Raleigh,ラリー
rally,ラリー
rallying,ラルフ
Ralph,ram
ram,ラマダン
Ramadan,ランブル
ramble,渡り者
rambler,漫然
rambling,ランブイエ
Rambouillet,やんちゃな
rambunctious,分岐
ramification,ランプ
ramp,大暴れ
rampage,流行する
rampant,城壁
rampart,倒れそうな
ramshackle,枝
ramus,ランチ
ranch,農場主
ranchero,ランチョ
rancho,悪臭のする
rancid,恨み
rancor,恨み
rancorous,ランド
rand,ランダム
random,ランダム化
randomization,ランダム化する
randomize,無作為化された
randomized,無作為に
randomly,ランダム
randomness,ランディ
Randy,鳴らした
rang,範囲
range,レンジャー
ranger,手足が長い
rangy,ランク
rank,ランキング
ranking,イライラさせる
rankle,掻き回す
ransack,身代金
ransom,大言壮語
rant,ラップ
rap,強欲な
rapacious,レイプ
rape,急速な
rapid,迅速
rapidity,急速に
rapidly,レイピア
rapier,強姦犯
rapist,ラッパー
rapper,ラポール
rapport,和解
rapprochement,うっとりしている
rapt,猛禽
raptor,歓喜
rapture,狂喜した
rapturous,レア
rare,稀薄にする
rarefy,まれに
rarely,まれ
rarer,希少性
rarity,RASA
RASA,野郎
rascal,発疹
rash,軽率に
rashly,石目やすり
rasp,ラズベリー
raspberry,ラット
rat,ラタ
rata,ラチェット
ratchet,レート
rate,評価者
rater,むしろ
rather,批准
ratification,批准する
ratify,評価
rating,比
ratio,配給
ration,合理的
rational,論理的根拠
rationale,合理主義
rationalism,合理主義者
rationalist,合理性
rationality,合理化
rationalization,合理化する
rationalize,合理化された
rationalized,合理的に
rationally,走鳥類
ratite,籐製品
rattan,ガラガラ
rattle,ガラガラヘビ
rattler,ガラガラヘビ
rattlesnake,ネズミのような
ratty,騒々しい　
raucous,汚い　
raunchy,破壊
ravage,惨害
ravages,レイブ
rave,ラベル
Ravel,カラス
raven,飢えた
ravenous,遊び人
raver,峡谷
ravine,ラビオリ
ravioli,うっとりさせる
ravish,生
raw,生皮
rawhide,線
ray,レーモンド
Raymond,レーヨン
rayon,壊滅させる
raze,かみそり
razor,からかう
razz,RB
rb,RC
RC,脳血流
rCBF,RD
RD,rDNAの
rDNA,について
re,達する
reach,到達可能な
reachable,反応する
react,反応
reaction,反動的
reactionary,再活性化
reactivate,再活性化
reactivation,反応
reactive,反応性
reactivity,原子炉
reactor,読む
read,読みやすい
readable,リーダー
reader,読者
readership,容易に
readily,準備
readiness,読み取り
reading,再調整する
readjust,再調整
readjustment,読み出す
readout,通読する
readthrough,レディー
ready,再確認する
reaffirm,レーガン
Reagan,試薬
reagent,本当の
real,再調整する
realign,再編
realignment,実現する
realise,実現
realised,リアリズム
realism,現実主義者
realist,現実的な
realistic,現実的に
realistically,現実
reality,実現
realization,実現
realization,実現する
realize,再割り当てする 
reallocate,本当に
really,レルム
realm,realnetwork
realnetwork,realpolitik
realpolitik,不動産業者
realtor,不動産
realty,(果物を)搾る
ream,刈り取る
reap,刈り取り機
reaper,再び現れる
reappear,再発
reappearance,再評価
reappraisal,リア
rear,飼育
rearing,リアーム
rearm,再配置する
rearrange,並び替え
rearranged,再配列
rearrangement,理由
reason,妥当な
reasonable,合理性
reasonableness,合理的に
reasonably,推論
reasoning,の理由
reasons,組み立て直す
