s,SA
SA,サーブ
Saab,サバ州
Sabah,安息日
sabbath,長期有給休暇
sabbatical,サーベル
saber,クロテン
sable,サボタージュ
sabotage,妨害
sabotaged,サボタージュ
saboteur,サーベル
sabre,嚢
sac,サッカリン
saccharin,サッカリンの
saccharine,出芽酵母
Saccharomyces,小袋
sachet,袋
sack,解任
sacking,聖餐
sacrament,聖礼典の
sacramental,サクラメント
Sacramento,サクレ･クール教会
Sacre,神聖
sacred,犠牲
sacrifice,犠牲に
sacrificed,犠牲の
sacrificial,冒とく
sacrilege,神聖を汚す
sacrilegious,極めて神聖な
sacrosanct,悲しい
sad,サダム
Saddam,悲しませる
sadden,悲しむ
saddened,悲しい　
sadder,最も悲しい　
saddest,サドル
saddle,サディズム
sadism,サディスト
sadist,サディスティック
sadistic,悲しいことに
sadly,悲しみ
sadness,サファリ
Safari,安全な
safe,守る
safeguard,保管
safekeeping,安全に
safely,より安全な
safer,最も安全な
safest,安全性
safety,セイフウェイ
Safeway,ベニバナ
safflower,サフラン
saffron,たるみ
sag,サガ
saga,セージ
sage,ヤマヨモギ
sagebrush,垂れ下がった
saggy,射手座
Sagittarius,サハラ
Sahara,サハラ
Saharan,紳士
sahib,前記
said,サイゴン
Saigon,帆
sail,ヨット
sailboat,セーリング
sailing,船乗り
sailor,聖人
saint,聖人の位
sainthood,聖人のような
saintly,目的
sake,サハリン
Sakhalin,サラーム
salaam,売れる
salable,わいせつな
salacious,サラダ
salad,サンショウウオ
salamander,サラミ
salami,有給
salaried,給与
salary,サルコウ
salchow,販売
sale,セールス
sales,店員
salesclerk,セールスマン
salesman,セールスマンシップ
salesmanship,販売員
salespeople,販売員
salesperson,セールスウーマン
saleswoman,目立った
salient,生理食塩水
saline,塩分濃度
salinity,ソールズベリー
Salisbury,唾液
saliva,唾液の
salivary,よだれを垂らす
salivate,サーレ
salle,黄ばんだ
sallow,サリー
sally,鮭
salmon,サルモネラ
salmonella,サロン
salon,サルーン
saloon,サルサ
salsa,塩
salt,硝石
saltpeter,海水の
saltwater,塩辛い　
salty,有益な
salutary,挨拶
salutation,敬礼
salute,サルバドール
Salvador,エルサルバドル
Salvadoran,サルベージ
salvage,救い
salvation,軟膏
salve,サルビア
salvia,一斉射撃
salvo,サム
Sam,サマリア
Samaria,サマリア人
Samaritan,サンバ
samba,サンボ
sambo,同じ
same,同一性
sameness,サミー
Sammy,サモア
Samoa,サンパン
sampan,サンプル
sample,サンプラー
sampler,サンプリング
sampling,サムソン
Samson,サミュエル
Samuel,サムライ
samurai,San Francisco
San,療養所
sanatorium,サンチェス
Sanchez,神に奉納する
sanctify,仏臭い
sanctimonious,sanctimony
sanctimony,制裁
sanction,制裁
sanctions,神聖
sanctity,聖域
sanctuary,神聖な場所
sanctum,砂
sand,サンダカン
Sandakan,サンダル
sandal,白檀材
sandalwood,砂州
sandbank,サンドボックス
sandbox,サンダー
sander,睡魔
sandman,サンドペーパー
sandpaper,サンドラ
Sandra,砂岩
sandstone,砂嵐
sandstorm,サンドイッチ
sandwich,砂の
sandy,正気の
sane,楽観的な
sanguine,療養所
sanitarium,サニタリー
sanitary,衛生
sanitation,消毒する
sanitize,正気
sanity,サンスクリット語
Sanskrit,サンタ
Santa,サンティアゴ
Santiago,サンパウロ
Sao,サピエント
sapient,苗木
sapling,ザッパー
sapper,サファイア
sapphire,感傷
sappy,SAR
SAR,サラ
Sara,サラ
Sarah,サラエボ
Sarajevo,サラン
saran,サラサーテ
sarasate,サラトガ
Saratoga,サラワク州
Sarawak,皮肉
sarcasm,皮肉な
sarcastic,皮肉たっぷりに
sarcastically,肉腫
sarcoma,筋節
sarcomere,石棺
sarcophagus,イワシ
sardine,サルディニア
Sardinia,皮肉な
sardonic,皮肉を込めて
sardonically,サリー
sari,サリン
sarin,サーク島
Sark,サロン
sarong,衣服の
sartorial,サルトル
Sartre,サッシ
sash,サスカチュワン州
Saskatchewan,生意気
sass,サッサフラス
sassafras,生意気
sassy,土
Sat,サタン
Satan,悪魔のような
satanic,学生かばん
satchel,サテー
sate,衛星
satellite,満腹
satiety,サテン
satin,風刺
satire,痛烈
satiric,風刺の
satirical,風刺作家
satirist,風刺する
satirize,満足
satisfaction,満足
satisfactorily,満足のいく
satisfactory,満足
satisfied,満たす
satisfy,大麻
sativa,飽和
saturate,飽和
saturation,土曜日
Saturday,土星
Saturn,サテュロス
Satyr,ソース
sauce,鍋
saucepan,ソーサー
saucer,生意気
saucy,サウジ
Saudi,ザウアークラウト
sauerkraut,サウナ
sauna,散歩
saunter,ソーセージ
sausage,ソテー
saute,ソテー
sauteed,ソーヴィニヨン
Sauvignon,野蛮
savage,激しく攻撃
savaged,どう猛に
savagely,残忍
savagery,サバンナ
Savanna,サバンナ
Savannah,学者
savant,セーブ
save,保存された
saved,セーバー
saver,節約
saving,貯蓄
savings,救世主
savior,救世主
saviour,味わう
savor,香ばしい　
savory,味わう
savour,香ばしい　
savoury,サボイ
savoy,経験豊富な
savvy,のこぎり
saw,おがくず
sawdust,製材所
sawmill,のこぎりで切られた
sawn,ソーヤー
sawyer,サクソン
Saxon,サクソフォン
saxophone,サクスホーン奏者
saxophonist,言う
say,格言
saying,言う 
says,SB
SB,SC
SC,かさぶた
scab,ぼろぼろの
scabby,scads
scads,足場
scaffold,やけどする
scald,スケール
scale,スケーリング
scaling,春タマネギ
scallion,ホタテ貝
scallop,頭皮
scalp,外科用メス
scalpel,ダフ屋
scalper,うろこ状の
scaly,詐欺
scam,手を抜く
scamp,走る
scamper,スキャン
scan,スキャンダル
scandal,名誉を傷つける
scandalize,スキャンダラス
scandalous,スカンディナビア
Scandinavia,スカンジナビアの
Scandinavian,スキャンした
scanned,スキャナ
scanner,スキャニング
scanning,乏しい　
scant,乏しく
scantily,乏しい　
scanty,スケープゴート
scapegoat,肩甲骨
scapula,傷跡
scar,スカラベ
scarab,乏しい　
scarce,ほとんどない
scarcely,希少性
scarcity,恐怖
scare,かかし
scarecrow,怖がって
scared,スカーフ
scarf,恐ろしい　
scarier,怖い　
scariest,スカーレット
scarlet,怖い　
scary,スキャット
scat,痛烈
scathing,スカトロ
scatological,スキャッター
scatter,散在する
scattered,散布
scatterplot,scattershot
scattershot,あさる
scavenge,スカベンジャー
scavenger,SCD
SCD,シナリオ
scenario,シーン
scene,景色
scenery,風光明媚な
scenic,香り
scent,香り
scented,笏
scepter,懐疑的な見方
scepticism,SCF
SCF,シャーデンフロイデ
schadenfreude,スケジュール
schedule,予定の
scheduled,スケジューリング
scheduling,スキーマ
schema,回路図
schematic,概略的に
schematically,スキーム
