g,g
GA,GA
gab,おしゃべり
GABA,GABA
gabaergic,GABA作動性
gabardine,ギャバジン
gable,切妻
Gabriel,ガブリエル
gack,GACK
gad,ほっつき歩く
gadfly,あぶ
gadget,ガジェット
gadgetry,小道具
Gaelic,ゲール語
gaff,ギャフ
gaffe,失言
gaffer,じいさん
Gaffney,ガフニー
gag,ギャグ
gaga,熱狂的な
gage,ゲージ
gaggle,ガチョウの群れ
gah,がーん
Gaia,ガイア
gaiety,派手
gaily,陽気に
gain,ゲイン
gaine,gaine
gainful,有給の
gainsay,否定する
gait,足取り
gal,ギャル
gala,祭り
galactic,銀河の
Galactose,ガラクトース
galaxy,銀河
Galbraith,ガルブレイス
gale,強風
galena,ガリーナ
Galilee,ガリラヤ
Galileo,ガリレオ
gall,ゴール
gallant,勇敢な
gallantly,勇敢に
gallbladder,胆嚢
galleon,ガレ??オン船
gallery,ギャラリー
galley,ギャレー
Gallic,ガリアの
galling,摩耗
gallium,ガリウム
gallon,ガロン
gallop,ギャロップ
gallows,絞首台
Gallup,ギャラップ
galore,豊富
galosh,galosh
galvanize,亜鉛メッキする
galvanized,亜鉛めっきされた
Gambia,ガンビア
Gambian,ガンビア
gambit,策略
gamble,ギャンブル
gambled,ギャンブル
gambler,ギャンブラー
gambling,ギャンブル
gambol,跳ね回る
game,ゲーム
gamely,勇敢に
games,ゲーム
gamete,配偶子
gaming,賭博
gamma,ガンマ
gammon,ギャモン
gamut,全域
gander,ガンダー
Gandhi,ガンジー
gang,ギャング
ganglion,結節腫
gangly,ひょろ長い　
gangrene,壊疽
gangsta,ギャングスタ
gangster,やくざ
gangway,舷門
GAO,GAO
gap,ギャップ
gape,裂け目
gaping,ぽかんと
gapped,ギャップ付き
gar,ガー
garage,ガレ??ージ
garb,服装
garbage,ごみ
garble,文字化け
garbled,文字化けしている
Garbo,ガルボ
garden,ガーデン
gardener,ガーデナー
gardening,ガーデニング
Gardner,ガードナー
gargantuan,巨大な
gargoyle,ガーゴイル
garish,派手な
garishly,派手に
garland,花輪
garlic,ニンニク
garment,衣服
garner,ガーナー
garnet,ガーネット
garnish,ガーニッシュ
garpike,garpike
garret,屋根裏部屋
garrison,駐屯地
garrulous,とりとめのない
garter,ガーター
Gary,ゲーリー
gas,ガス
gasbag,おしゃべりな人
gaseous,ガス状の
gash,切り傷
gasification,ガス化
gasket,ガスケット
gaslight,ガス燈
gasoline,ガソリン
gasp,あえぎ
gastric,胃の
gastritis,胃炎
gastrocnemius,腓腹筋
gastroenteritis,胃腸炎
gastroenterology,消化器病学
gastrointestinal,胃腸の
gastronomic,美食の
gastronomy,美食
gat,ピストル
gate,ゲート
gated,ゲーテッド
gatehouse,守衛詰所
gatekeeper,門番
gateway,ゲートウェイ
gather,ギャザー
gathering,集会
Gator,ゲイター
Gatorade,ゲータレード
GATT,ガット
gauche,不器用な
gaudy,派手な
gauge,ゲージ
Gauguin,ゴーガン
Gaul,ガリア
Gaulle,ドゴール
gaunt,やつれた
gauntlet,ガントレット
gauze,ガーゼ
gauzy,紗のような
gavel,小槌
gawk,気のきかない人
gay,ゲイ
Gaza,ガザ
gaze,注視
gazebo,展望台
gazed,見つめた
gazelle,ガゼル
gazette,ガゼット
gazetteer,地名辞典
gazillion,何億兆
gazpacho,ガスパッチョ
gb,ギガバイト
GC,GC
GCA,アフリカグローバル連合 
GCC,GCC
Gdansk,グダニスク
GDP,国内総生産
gear,ギア
gearbox,ギアボックス
gecko,ヤモリ
gee,ジー
geek,オタク
geeky,おかしな
Geez,ギーズ語
geezer,老人
gel,ゲル
gelatin,ゼラチン
gelatinous,ゲル状の
geld,弱らせる
gelid,氷のような
Gemeini,Gemeini
Gemini,ジェミニ
gemstone,ジェムストーン
gen,GEN
Genbank,ジェンバンク
gender,性
gene,遺伝子
genealogical,系図の
genealogy,系譜
genechip,遺伝子チップ
general,一般的な
generalissimo,総統
generalist,ジェネラリスト
generality,一般性
generalizability,一般化可能性
generalizable,一般化
generalization,一般化
generalize,一般化する
generalized,一般的な
generally,一般に
generate,生成する
generating,発生する
generation,世代
generational,世代の
generator,発電機
generic,ジェネリック
generically,一般的に
generosity,寛大さ
generous,寛大な
generously,気前よく
Genesis,創世記
genetic,遺伝子の
genetically,遺伝的に
geneticist,遺伝学者
genetics,遺伝学
Geneva,ジュネーブ
Genghis,チンギス
genial,温和な
genie,精霊
genital,性器
genitals,性器
