o,OA
OA,のろま
oaf,オアフ島
Oahu,オーク
oak,オークランド
Oakland,オール
oar,オアシス
oasis,からす麦
oat,宣誓
oath,オートミール
oatmeal,OAU
OAU,OB
OB,オバマ
Obama,服従
obedience,従順な
obedient,敬意
obeisance,オベリスク
obelisk,肥満した
obese,肥満
obesity,従う
obey,従った
obeyed,当惑させる
obfuscate,オビスポ
Obispo,死亡記事
obit,obiter
obiter,死亡記事
obituary,オブジェクト
object,異議
objection,不愉快な
objectionable,目的
objective,客観的に
objectively,客観論 
objectivism,客観性
objectivity,反対者
objector,義務付ける
obligate,義務
obligation,義務的
obligatory,義務付ける
oblige,斜めの
oblique,斜めに
obliquely,消し去る
obliterate,忘却
oblivion,記憶してない
oblivious,横長
oblong,不愉快な
obnoxious,オーボエ
oboe,わいせつな
obscene,わいせつ
obscenity,曖昧な
obscure,無名
obscurity,こびへつらう
obsequious,観察できる
observable,遵守
observance,観察力の鋭い
observant,観測
observation,観測の
observational,展望台
observatory,観察する
observe,観測された
observed,観察者
observer,取りつく
obsess,夢中 
obsessed,強迫観念
obsession,強迫的な
obsessive,しきりに
obsessively,黒曜石
obsidian,陳腐化
obsolescence,廃れかかった
obsolescent,廃止された
obsolete,障害物
obstacle,産科の
obstetric,産科医
obstetrician,産科
obstetrics,頑固
obstinacy,頑固な
obstinate,妨害する
obstruct,閉塞
obstruction,閉塞性の
obstructive,入手する
obtain,得られる
obtainable,入手
obtaining,押し付けがましい　
obtrusive,鈍い　
obtuse,未然に防ぐ
obviate,明らかな
obvious,明らかに
obviously,OC
OC,時
occasion,時折の
occasional,たまに
occasionally,引き起こさ
occasioned,西洋の
occidental,塞ぐ
occlude,閉塞
occlusion,オカルト
occult,掩蔽
occultation,占有
occupancy,占有者
occupant,職業
occupation,職業の
occupational,占領下
occupied,居住者
occupier,占める
occupy,発生する
occur,発生した
occured,発生
occurrence,海洋
ocean,大洋の
Oceanic,海洋学
oceanography,オセロット
ocelot,おお
och,黄土色
ocher,黄土色
ochre,OCP
OCP,10月
Oct,八角形
octagon,八角形の
octagonal,オクターブ
octave,10月
October,80代
octogenarian,タコ
octopus,接眼レンズ
ocular,オダリスク
odalisque,奇数
odd,変わり者
oddball,奇妙
oddest,変人
oddity,妙に
oddly,オッズ
odds,頌歌
ode,オーデル川
Oder,オーディン
Odin,いやらしい　
odious,オドメーター
odometer,臭気
odor,付臭剤
odorant,臭気
odour,オデッセイ
Odyssey,OECD
OECD,OED
OED,エディプス
Oedipal,オイディプス
Oedipus,全作品
oeuvre,の
of,オフ
off,臓物
offal,オフビート
offbeat,犯罪
offence,怒らせる
offend,気分を害した
offended,犯人
offender,犯罪
offense,攻撃
offensive,攻撃的
offensively,オファー
offer,募集
offering,ぶっきらぼうな
offhand,ぶっきらぼうに
offhandedly,オフィス
office,公務員
officeholder,役員
officer,公式
official,正式に
officially,職務を果たす
officiate,おせっかいな
officious,沖
offing,オフライン
offline,画面外の
offscreen,シーズンオフ
offseason,オフセット
offset,分派
offshoot,オフショア
offshore,オフサイド
offside,子孫
offspring,舞台裏
offstage,oft
oft,多くの場合
often,OGC
OGC,オグデン
Ogden,よく見る
ogle,鬼
ogre,OH
OH,オハイオ州
Ohio,オーム
ohm,OIC
OIC,オイル
oil,オイルクロス
oilcloth,タンカー
oiler,石油業者
oilman,オイル
oils,オイリー
oily,ブーブー
oink,軟膏
ointment,OIPR
OIPR,OK
OK,はい
okay,オクラホマ
Okla,オクラホマ州
Oklahoma,オクラホマ
Oklahoman,オクラ
okra,OL
OL,オランザピン
olanzapine,オレイサ
Olathe,古い　
old,昔の
olden,年上の
older,最も古い　
oldest,オールズモビル
Oldsmobile,オーレ
ole,セイヨウキョウチクトウ
oleander,嗅覚
olfaction,嗅覚の
olfactory,ロシアの新興財閥
Oligarch,寡頭政治
oligarchy,オリゴ
oligo,オリゴマー
oligomer,オリゴヌクレオチド
oligonucleotide,寡占
oligopoly,オリーブ
olive,オリバー
Oliver,オーリー
Ollie,オリンピア
Olympia,オリンピック選手
Olympian,オリンピック
Olympic,五輪
Olympics,オリンポス
Olympus,オマハ
Omaha,オマーン
