q,カイーダ
Qaeda,カーイダ
Qaida,カタール
Qatar,QD
QD,QIAGEN社
QIAGEN,乾隆帝
qianlong,QIAクイック
QIAquick,秦
Qin,清
Qing,QT
qt,QTL
QTL,資格で
qua,偽医者
quack,いんちき療法
quackery,クワッド
quad,四角形
quadrangle,象限
quadrant,二次方程式
quadratic,4年間
quadrennial,千兆
quadrillion,四肢まひ
quadriplegic,四つ子
quadruplet,四重の
quadruplicate,泥沼
quagmire,ウズラ
quail,古風な趣のある
quaint,地震
quake,クエーカー
Quaker,クアルコム
qualcomm,資格
qualification,資格のある
qualified,予選
qualifier,修飾する
qualify,質的
qualitative,定性的に
qualitatively,品質
quality,良心のとがめ
qualm,困惑
quandary,定量化できる
quantifiable,定量化
quantification,定量化する
quantify,変位値
quantile,定量
quantitate,定量
quantitated,計量
quantitation,定量的な
quantitative,定量
quantitatively,数量
quantity,量子
quantum,検疫
quarantine,クォーク
quark,けんか
quarrel,けんか好きな
quarrelsome,採石場
quarry,クォート
quart,四半期
quarter,クォーターバック
quarterback,準々決勝
quarterfinal,季刊
quarterly,カルテット
quartet,四分位数
quartile,石英
quartz,クエーサー
quasar,鎮める
quash,疑似
quasi,第四級
quaternary,8分音符
quaver,岸壁
quay,クエール
Quayle,波止場地域
quayside,吐き気を催させる
queasy,ケベック
Quebec,女王
queen,クイーンズランド州
Queensland,奇妙な
queer,鎮める
quell,クエンチ
quench,急冷
quenched,ぐちっぽい
querulous,疑問
query,クエスト
quest,質問
question,疑わしい　
questionable,質問者
questioner,質問
questioning,アンケート
questionnaire,質問
questions,キュー
queue,屁理屈
quibble,キッシュ
quiche,クイック
quick,早める
quicken,より速い　
quicker,最速
quickest,急ごしらえの
quickie,生石灰
quicklime,すぐに
quickly,機敏
quickness,流砂
quicksand,クイックシルバー
quicksilver,1ポンド
quid,静止
quiescence,静止
quiescent,静かな
quiet,静か
quieter,静かに
quietly,静けさ
quietness,クイル
quill,キルト
quilt,キルト風の
quilted,マルメロ
quince,キニーネ
quinine,クイン
Quinn,キノン
Quinone,ラ・キンタ
Quinta,真髄
quintessence,典型的な
quintessential,クインテット
quintet,五分位数
quintile,五つ子
quintuplet,いやみ
quip,奇癖
quirk,風変わりな
quirky,やめる
quit,かなり
quite,簡単にあきらめる人
quitter,矢筒
quiver,キホーテ
Quixote,ドンキホーテ風の
Quixotic,クイズ
quiz,いぶかしげな
quizzical,クオ
quo,刑務所
quod,定足数
quorum,引用
quot,クォータ
quota,引用する価値のある
quotable,引用
quotation,見積もり
quote,quothが
quoth,日常の
quotidian,指数
quotient,コー??ラン
Quran,クエスト
Qwest,r
