v,VA
VA,VAC
vac,欠員
vacancy,空いている
vacant,明け渡す
vacate,休暇
vacation,休暇
vacationer,予防接種
vaccinate,ワクチン接種
vaccinated,ワクチン接種
vaccination,ワクチン
vaccine,スノキ
vaccinium,揺れる
vacillate,動揺
vacillation,欠如
vacuity,空胞の
vacuolar,空胞形成
vacuolation,液胞
vacuole,空虚な
vacuous,真空
vacuum,放浪者
vagabond,バガリー
vagary,膣
vagina,膣の
vaginal,漠然とした
vague,漠然と
vaguely,曖昧さ
vagueness,無駄な
vain,無駄に
vainly,バランス
valance,谷
vale,卒業生総代
valedictorian,告別の
valedictory,原子価
valence,バレンシア
Valencia,バレンタイン
Valentine,バレット
valet,勇敢な
valiant,果敢に
valiantly,有効な
valid,検証
validate,有効な
validated,検証
validation,妥当性
validity,谷
valley,勇気
valor,勇気
valour,貴重な
valuable,評価
valuation,価値
value,無価値な
valueless,バルブ
valve,バンプ
vamp,vamped
vamped,バンパイア
Vampire,vampirism
vampirism,バン
van,バンコマイシン
vancomycin,バンクーバー
Vancouver,荒らし
vandal,破壊
vandalism,破壊する
vandalize,バンダービルト
Vanderbilt,羽根
vane,前衛
vanguard,バニラ
vanilla,消える
vanish,虚栄心
vanity,打ち負かす
vanquish,敗者
vanquished,バンテージ
vantage,バヌアツ
Vanuatu,気の抜けた
vapid,退屈な考え
vapidity,蒸気
vapor,蒸発する
vaporize,蒸気質の
vaporous,蒸気
vapour,VAQUERO
vaquero,変動性
variability,変数
variable,分散
variance,バリアント
variant,バリエーション
variation,多様な
varied,多彩
variegated,多様性
variety,さまざまな
various,さまざまに
variously,害鳥
varmint,ワニス
varnish,代表チーム
varsity,変わる
vary,血管の
vascular,血管系
vasculature,花瓶
vase,血管作動性の
vasoactive,血管収縮
vasoconstriction,血管拡張剤
vasodilator,昇圧剤
vasopressor,家臣
vassal,広大な
vast,非常に
vastly,広大さ
vastness,VAT
vat,バチカン
Vatican,ボードビル
vaudeville,ボードビリアン
vaudevillian,ボーン
Vaughan,ボーン
Vaughn,ボールト
vault,アーチ形天井の
vaulted,自慢
vaunt,誇示されている
vaunted,ビデオデッキ
vcr,VD
VD,VE
VE,子牛の肉
veal,ヴェッキオ
Vecchio,ベクトル
vector,veep
veep,それる
veer,方向転換
veered,ベジタリアン
veg,ベガ
Vega,完全菜食主義の
vegan,ラスベガス
Vegas,野菜
vegetable,ベジタリアン
vegetarian,vegetate
vegetate,植生
vegetation,植物の
vegetative,VEGF
VEGF,野菜
veggie,激しさ
vehemence,猛烈な
vehement,熱烈に
vehemently,車両
vehicle,自動車の
vehicular,ベール
veil,静脈
vein,ベラスケス
Velazquez,草原
veld,ベラム
vellum,速度
velocity,ベロア
velour,ベルベット
velvet,別珍
