w,WA
WA,狂気さ
wackiness,変わったやつ
wacko,奇抜な
wacky,ウェーコ
Waco,詰め物
wad,よたよた歩き
waddle,ウェイド
wade,ワジ
wadi,WAF
WAF,ウエハー
wafer,ワッフル
waffle,漂う
waft,振る
wag,賃金
wage,賭け
wager,賭博
wagering,賃金
wages,ワッグル
waggle,ワーグナー
Wagner,ワーグナー
Wagnerian,ワゴン
wagon,ワウ
wah,ワッハーブ主義
Wahhabism,ニレの木
wahoo,浮浪児
waif,ワイキキ
Waikiki,悲しむ
wail,ウェイン
wain,ウェインライト
wainwright,ウエスト
waist,ウエストバンド
waistband,チョッキ
waistcoat,ウエストライン
waistline,待つ
wait,ウェイター
waiter,待っている
waiting,ウエイトレス
waitress,放棄する
waive,権利放棄
waiver,ウェイク
wake,油断のない
wakeful,覚醒状態
wakefulness,目覚める
waken,ウォルマート
Wal,ウェールズ
Wales,歩く
walk,徒歩旅行
walkabout,ウォーカー
walker,ウォーキング
walking,ウォークマン
walkman,退場する
walkout,歩道
walkway,壁
wall,ウォリス
Wallace,壁のある
walled,ウォレット
wallet,壁の花
wallflower,強打
wallop,ふける
wallow,壁紙
wallpaper,ウォリー
wally,クルミ
walnut,セイウチ
walrus,ウォルシュ
Walsh,ウォルト
Walt,ウォルター
Walter,ウォルサム
Waltham,ワルツ
waltz,wampum
wampum,WAN
wan,ワンド
wand,さまよう
wander,さまよっ
wandered,放浪者
wanderer,放浪
wandering,旅行熱
wanderlust,衰え
wane,王府井
wangfujing,せしめる
wangle,オナニー
wank,ろくでなし
wanker,したい
wanna,志望者
wannabe,を望む
want,欲しい　
wanted,足りない
wanting,理不尽な
wanton,気まぐれ
wantonly,戦争
war,さえずり
warble,ウォブラー
warbler,ウォーバーグ
Warburg,病棟
ward,看守
warden,ワードローブ
wardrobe,ウェア
ware,倉庫
warehouse,倉庫保管
warehousing,用品
wares,戦争
warfare,弾頭
warhead,用心深く
warily,好戦的な
warlike,ウォーロック
warlock,将軍
warlord,暖かい
warm,ウォーマー
warmer,暖かい　
warmest,warmhearted
warmhearted,加温
warming,温かく
warmly,warmonger
warmonger,暖かさ
warmth,警告する
warn,ワーナー
Warner,警告
warning,ワープ
warp,ゆがんだ
warped,戦闘機
warplane,令状
warrant,保証
warranty,ウォレン
Warren,交戦
warring,戦士
warrior,ワルシャワ
Warsaw,軍艦
warship,いぼ
wart,イボイノシシ
warthog,戦時
wartime,用心深い　
wary,だった
was,ウォッシュ
wash,洗える
washable,洗濯板
washboard,ワッシャー
washer,洗濯
washing,ワシントン州
Washington,ワシントン市民 
Washingtonian,ウォッシュアウト
washout,洗面所
washroom,wasn
wasn,WASP
WASP,ワッサースタイン
Wasserstein,ワスト
wast,廃棄物
waste,ウエイストバスケット
wastebasket,無駄の多い　
wasteful,荒れ地
wasteland,廃水
wastewater,浪費
wasting,ワット
Wat,見る
watch,ウォッチドッグ
watchdog,見て
watched,ウォッチャー
watcher,用心深い　
watchful,見て
watching,ウォッチリスト
watchlist,夜警
watchman,望楼
watchtower,合い言葉
watchword,水
water,水彩画
watercolor,船
watercraft,クレソン
watercress,滝
waterfall,水鳥
waterfowl,ウォーターフロント
waterfront,ウォーターゲート事件
Watergate,水たまり
waterhole,散水
watering,ウォータールー
Waterloo,ウォーターマン
waterman,透かし
watermark,スイカ
watermelon,防水
waterproof,領海
waters,流域
watershed,水辺
waterside,ウォータースポーツ
watersport,水路
waterway,上水道
waterworks,水っぽい　
watery,ワトソン
Watson,ワット
watt,肉垂(にくすい)
wattle,波
wave,波形
waveform,波長
wavelength,迷う
waver,波状の
wavy,ワックス
wax,蝋の
waxy,方法
way,ウェイン
Wayne,道端
wayside,わがままな
wayward,WB
WB,トイレ
wc,我々
we,弱い
weak,弱める
weaken,弱体化
weakening,弱い　
weaker,最も弱い　
weakest,弱虫
weakling,弱く
weakly,弱点
weakness,富
wealth,裕福
wealthier,裕福な
wealthiest,裕福な
wealthy,引き離す
wean,離乳
weaned,武器
weapon,兵器
weaponry,身につけている
wear,ウェアラブルな
wearable,着用者
wearer,疲れて
wearily,疲れ
weariness,退屈な
wearisome,疲れた
weary,イタチ
weasel,天気
weather,風化した
weathered,天気予報官
weatherman,ウィーブ
weave,ウィーバー
weaver,インターネット
web,ウェブキャスト
webcast,ウェブマスター
webmaster,ウェブページ
webpage,ウェブサイト
website,ウェブスター
Webster,結婚
wed,結婚式
wedding,ウェッジ
wedge,結婚生活
wedlock,水曜日
Wednesday,ちっぽけな
wee,雑草
weed,週
week,平日
weekday,週末
weekend,ウィークエンダー
weekender,一週間
weeklong,毎週
weekly,期待する
ween,ウインナソーセージ
weenie,とても小さな
weeny,泣く
weep,泣くこと
weeping,涙ぐんだ
weepy,ゾウムシ
weevil,量る
weigh,重さ
weight,重み付きの
weighted,重み付け
weighting,無重力
weightlessness,重い　
weighty,ワイマール
Weimar,堰
weir,奇妙な
weird,奇妙
weirder,最も奇妙な
weirdest,変なふうに
weirdly,凄味
weirdness,変人
weirdo,ワイズバーグ
