t,TA
ta,タブ
tab,タバスコ
tabasco,タビー
tabby,幕屋
tabernacle,テーブル
table,タブロー
tableau,テーブルクロス
tablecloth,大さじ
tablespoon,タブレット
tablet,卓上
tabletop,タブロイド
tabloid,タブー
taboo,表形式の
tabular,表にする
tabulate,作表
tabulated,作表
tabulation,タコメータ
tach,タコメータ
tachometer,頻脈
tachycardia,暗黙
tacit,それとなく
tacitly,無口な
taciturn,タック
tack,タックル
tackle,粘着性の
tacky,タコス
taco,タコマ
Tacoma,タクロリムス
tacrolimus,タクト
tact,如才ない
tactful,巧みに
tactfully,戦術
tactic,戦術的な
tactical,戦術家
tactician,触覚の
tactile,へまな
tactless,タッド
Tad,オタマジャクシ
tadpole,TAF
TAF,タフタ
taffeta,タグ
tag,キャッチフレーズ
tagline,テージョ川
Tagus,テール
tail,テイルバック
tailback,テールゲート
tailgate,テールライト
taillight,テーラー
tailor,崩壊
tailspin,汚染
taint,台湾
Taiwan,台湾の
Taiwanese,タージ
Taj,タジキスタン
Tajikistan,取る
take,離陸
takeoff,取り出す
takeout,引き継ぐ
takeover,受け手
taker,取得
taking,タルク
talc,物語
tale,タレント
talent,才能のある
talented,タリバン
Taliban,お守り
talisman,トーク
talk,おしゃべりな
talkative,トーカ
talker,話すこと
talking,おしゃべりな
talky,背の高い
tall,背が高い　
taller,最も高い　
tallest,タリー
tally,タルムード
Talmud,タルムード
Talmudic,爪
talon,タマリンド
tamarind,タンバリン
tambourine,飼いならす
tame,飼いならさ
tamed,調教師
tamer,タミル
Tamil,タミー
Tammy,タモキシフェン
tamoxifen,タンプ
tamp,タンパ
Tampa,タンパー
tamper,タンポン
tampon,日焼け
tan,タンデム
tandem,唐
Tang,接触
tangency,タンジェント
tangent,接線の
tangential,接線方向に
tangentially,タンジェリン
tangerine,有形
tangible,もつれ
tangle,もつれた
tangled,タングルウッド
Tanglewood,タンゴ
tango,舌にピリッとする
tangy,タンク
tank,タンカード
tankard,タンカー
tanker,タナー
tanner,皮なめし工場
tannery,タンニン
tannin,じらす
tantalize,等しい　
tantamount,かんしゃく
tantrum,タンザニア
Tanzania,タオ
tao,タップ
tap,テープ
tape,テーパー
taper,テーパーの
tapered,タペストリー
tapestry,サナダムシ
tapeworm,テーピング
taping,タピオカ
tapioca,バク
tapir,盗聴
tapping,Taq
Taq,タール
tar,タラ
Tara,Tarantellaの
Tarantella,タランチュラ
tarantula,遅刻
tardy,ターゲット
target,対象となる
targeted,ターゲティング
targeting,関税
tariff,駐機場
tarmac,タルン
tarn,変色
tarnish,タロット
tarot,ターポン
tarpon,タルト
tart,タータン
tartan,歯石
tartar,しんらつに
tartly,ターザン
Tarzan,テイザー社
taser,仕事
task,任務
tasked,工事監督
taskmaster,タスマニア州
Tasmania,さかずき
tass,タッセル
tassel,味
taste,味わっ
tasted,上品な
tasteful,趣味よく
tastefully,味のない
tasteless,毒味役
taster,テイスティング
tasting,おいしい　
tasty,TAT
tat,ジャガイモ
tater,ぼろぼろ
tattered,告げ口
tattle,タトゥー
tattoo,入れ墨
tattooed,タウ
tau,愚弄
taunt,嘲り
taunting,牡牛座
Taurus,ピンと張った
taut,トートロジー
tautology,居酒屋
tavern,タベルナ
Taverna,安っぽい　
tawdry,黄褐色の
tawny,税
tax,分類群
taxa,課税
taxable,課税
taxation,タクシー
taxi,タクシー
taxicab,剥製師
taxidermist,タクソール
taxol,分類群
taxon,分類上の
taxonomic,分類
taxonomy,納税者
taxpayer,taxwise
taxwise,テイ
Tay,テイラー
Taylor,TB
TB,TC
TC,TCD
TCD,TCH
TCH,チャイコフスキー
Tchaikovsky,TCR
TCR,お茶
tea,教える
teach,先生
teacher,ティーチング
teaching,ティーカップ
teacup,茶屋
teahouse,チーク
teak,やかん
teakettle,ティール
teal,チーム
team,チームメイト
teammate,御者
teamster,チームワーク
teamwork,ティーポット
teapot,涙
tear,涙ぐんだ
tearful,tearjerker
tearjerker,ティールーム
tearoom,切り取りページ
tearsheet,涙の
teary,いじめる
tease,ティーザー
teaser,からかい
teasing,ティースプーン
teaspoon,乳首
teat,テアトロ
teatro,技術の
tech,専門的な
techie,Technetの
Technet,テクニカル
technical,専門的事項
technicality,技術的に
technically,技術者
technician,技術
technique,テクノ
techno,テクノクラート
technocrat,技術の
technological,技術的に
technologically,科学技術者
technologist,テクノロジー
technology,地殻変動の
tectonic,テッド
ted,テディ
Teddy,退屈な
tedious,退屈
tedium,ティー
tee,注ぐ
teem,ティーン
teen,十代の
teenage,十代の
teenaged,ティーンエイジャー
teenager,十代の若者たち
teens,ごく小さい　
teensy,小さな
teeny,シーソー
teeter,テフロン
teflon,テヘラン
Tehran,TEL
tel,テレビ放送
telecast,テレコム
telecom,テレコミュニケーション
telecommunication,電気通信
telecommunications,テレビ会議
teleconference,telegenic
telegenic,電報
telegram,電信
telegraph,電信の
telegraphic,テレコム
Telekom,テレマーケティング
telemarketer,テレマーケティング
telemarketing,遠隔治療
telemedicine,テレメトリー
telemetry,テレパシーの
telepathic,テレパシー
telepathy,電話
telephone,望遠鏡
telescope,テレタビー
teletubby,テレタイプ
teletype,テレビ宣教師
televangelist,放映する
televise,テレビ
television,テレックス
telex,伝える
tell,テラー
teller,伝える
telling,密告者
telltale,テルル化物
telluride,テルル
tellurium,テレビセット
telly,テロメラーゼ
telomerase,テロメア
telomere,テロメアの
telomeric,終期
telophase,TEM
TEM,地震
temblor,向こう見ず
temerity,TEMP
TEMP,気性
temper,気質
temperament,気まぐれな
temperamental,禁酒
temperance,温暖な
temperate,温度
temperature,テンペスト
tempest,激しい　
tempestuous,テンプレート
template,寺
temple,テンポ
tempo,時間的な
temporal,時間的に
temporally,一時的に
temporarily,一時的な
temporary,誘惑する
tempt,誘惑
temptation,魅力的な
tempting,誘惑
temptress,10
ten,批判に耐えられる
tenable,粘り強い　
tenacious,粘り強さ
tenacity,借地
tenancy,テナント
tenant,傾向がある
tend,傾向
tendency,偏向し
tendentious,入札
tender,テンダーロイン
tenderloin,優しく
tenderly,優しさ
tenderness,腱
tendon,巻きひげ
tendril,長屋
tenement,テネリフェ島
Tenerife,信条
tenet,10倍に
tenfold,テネシー州
Tennessee,テニス
tennis,テノール
tenor,時制
tense,張り詰めた様子で
tensely,テンション
tension,テント
tent,触手
tentacle,暫定的な
tentative,暫定的に
tentatively,第10
tenth,希薄な
tenuous,在職期間
tenure,保有権のある
tenured,ティピー
tepee,ぬるい　
tepid,テキーラ
tequila,ターセル
tercel,トレンガヌ
Terengganu,テレサ
Teresa,期間
term,ターミナル
terminal,末端
terminally,終了する
terminate,終了
termination,ターミネーター
terminator,専門用語
terminology,終端
terminus,シロアリ
termite,条件
terms,実習生
tern,三元の
ternary,テラ
terra,テラス
terrace,テラス
terraced,テラコッタ
terracotta,地形
terrain,テラピン
terrapin,地上の
terrestrial,ひどい
terrible,ひどく
terribly,テリア
terrier,素晴らしい　
terrific,怖がらせる
terrify,恐ろしい　
terrifying,領土の
territorial,領土
territory,恐怖
terror,テロリズム
terrorism,テロリスト
terrorist,テロリストの
terroristic,恐怖に陥れる
terrorize,恐怖
terrorized,テリー
Terry,簡潔な
terse,第三の
tertiary,テスラ
Tesla,テスト
test,テストできる
testable,遺言
testament,テスター
tester,睾丸
testicle,精巣の
testicular,証言する
testify,推薦状
testimonial,証言
testimony,検査
testing,睾丸
testis,テストステロン
testosterone,短気な
testy,破傷風の
tetanic,破傷風
tetanus,tetchy
tetchy,テザー
tether,テトラド
tetrad,4面体
tetrahedron,テトラヒメナ
tetrahymena,tetralogy
tetralogy,テトラメチルローダミン
tetramethylrhodamine,テトラヌクレオチド
tetranucleotide,4倍体
tetraploid,チュートン語
Teutonic,テックス
tex,Texan
Texan,テキサス州
Texas,テキスト
text,教科書
textbook,テキスタイル
textile,原文の
textual,テキスト形式
textually,テクスチャー
texture,テクスチャー加工
textured,TG
TG,序数(順番)を表す 
th,タイ語
Thai,タイ
Thailand,視床
thalamus,シロイヌナズナ
thaliana,サリドマイド
thalidomide,テーム
Thames,より
than,感謝
thank,感謝している
thankful,感謝して
thankfully,報われない
thankless,感謝
thanks,感謝祭
thanksgiving,タプシガルギン
thapsigargin,その
that,屋根をわらでふく
thatch,わらぶき屋根の
thatched,サッチャー
Thatcher,解凍
thaw,解凍
thawed,ザ
the,劇場
theater,劇場
theatre,演劇
theatrical,テーベ
Thebe,莢膜
theca,汝に
thee,盗難
theft,彼らの
their,彼らのもの
theirs,有神論
theism,それら
them,テーマの
thematic,テーマ
theme,自分自身
themselves,その後
then,そこから
thence,テオ
Theo,神権政治
theocracy,神学者
theologian,神学的な
theological,神学
theology,テオフィリン
Theophylline,定理
theorem,理論的な
theoretical,理論的には
theoretically,理論家
theoretician,理論家
theorist,理論化する
theorize,理論
theory,治療の
therapeutic,治療学
therapeutics,セラピスト
therapist,治療
therapy,そこ
there,その時分
thereabout,その後
thereafter,それによって
thereby,そのための
therefor,従って
therefore,その中に
therein,その
thereof,その上に
thereon,それに
thereto,サーマル
thermal,テルミドール
thermidor,サーモ
thermo,サーモ
thermocycler,熱力学的な
thermodynamic,熱力学
thermodynamics,温度計
thermometer,熱核
thermonuclear,サーモ
thermoplasma,魔法瓶
thermos,サーモスタット
thermostat,シソーラス
thesaurus,これらの
