p,PA
PA,ポリクローナル抗体
pAb,パブロ
Pablo,PAC
PAC,ペース
pace,ペースメーカー
pacemaker,ペースメーカー
pacer,厚皮動物
pachyderm,パシフィック
Pacific,おしゃぶり
pacifier,平和主義
pacifism,平和主義者
pacifist,なだめる
pacify,ペーシング
pacing,パック
pack,パッケージ
package,パッケージング
packaging,パッカード
Packard,パックされた
packed,パッカー
packer,パケット
packet,パッキング
packing,協定
pact,パッド
pad,パッド入りの
padded,パディング
padding,パドル
paddle,パドック
paddock,水田
paddy,南京錠
padlock,神父
padre,賛歌
paean,異教徒
pagan,異教
paganism,ページ
page,ページェント
pageant,式典
pageantry,呼び出し
pager,ページング
paging,仏塔
pagoda,バケツ
pail,痛み
pain,苦しそうな
pained,痛い　
painful,ひどく
painfully,鎮痛剤
painkiller,痛みのない
painless,苦労して
painstakingly,ペイント
paint,絵筆
paintbrush,描いた
painted,画家
painter,絵画的な
painterly,ペインティング
painting,ペア
pair,対を成す
paired,ペアリング
pairing,ペアワイズ
pairwise,ペーズリー
paisley,パジャマ
pajama,パジャマ
pajamas,PAK
PAK,パキスタン
Pakistan,パキスタンの
Pakistani,パル
pal,宮殿
palace,主唱者
paladin,宮殿
palais,おいしい　
palatable,口蓋
palate,宮殿の
palatial,パラオ
Palau,無駄話
palaver,宮殿
palazzo,淡い　
pale,旧石器時代
paleolithic,古生物学者
paleontologist,古生物学
paleontology,パレルモ
Palermo,パレスチナ
Palestine,パレスチナ人
Palestinian,パレット
palette,乗用馬
palfrey,パリンプセスト
palimpsest,回文
palindrome,柵
palisade,ポール
pall,パラジウム
palladium,パレット
pallet,一時しのぎ
palliative,青白い　
pallid,青白さ
pallor,手のひら
palm,パルマ
Palma,手の平
palmar,パーマー
Palmer,パルメット
palmetto,パロアルト
Palo,パロマ
Paloma,パロマー
Palomar,明白な
palpable,触診
palpation,触診
palpatory,動悸
palpitation,麻痺
palsy,微々たる
paltry,PAM
PAM,パンパ
Pampa,甘やかす
pamper,甘やかさ
pampered,パンフレット
pamphlet,牧羊神
Pan,万能薬
panacea,気取り
panache,パナマ
Panama,パンケーキ
pancake,膵臓
pancreas,膵臓の
pancreatic,膵炎
pancreatitis,パンダ
panda,パンデミック
pandemic,大混乱
pandemonium,迎合する
pander,パンドラ
Pandora,窓枠
pane,パネル
panel,羽目板
paneling,パネリスト
panelist,発作
pang,山刀
panga,パンハンドル
panhandle,乞食
panhandler,パニック
panic,パニック状態の
panicky,盛装
panoply,パノラマ
panorama,パノラマの
panoramic,パンジー
pansy,あえぐ
pant,パンテオン
Pantheon,パンサー
panther,パンティー
panties,パントマイム
pantomime,パントリー
pantry,パンツ
pants,パンツスーツ
pantsuit,パンティー
panty,パンスト
pantyhose,パップ
pap,パパ
papa,教皇制度
papacy,ローマ法王の
Papal,パパラッチ
paparazzi,パパイヤ
papaya,PAPD
PAPD,紙
paper,ペーパーバック
paperback,論文
papers,文鎮
paperweight,ペーパーワーク
paperwork,乳頭
papilla,乳頭腫
papilloma,パン粥状の
pappy,パプリカ
paprika,パプア
Papua,パピルス
papyrus,パー
par,パラ
para,たとえ話
parable,放物線
parabola,放物線の
parabolic,パラシュート
parachute,パレード
parade,パレード
paraded,パラダイム
paradigm,語形変化の
paradigmatic,楽園
paradise,パラドックス
paradox,逆説的な
paradoxical,逆説的に
paradoxically,パラフィン
paraffin,パラホルムアルデヒド
paraformaldehyde,模範
paragon,段落
paragraph,パラグアイ
Paraguay,パラインフルエンザ
parainfluenza,インコ
parakeet,弁護士補助員
paralegal,視差
parallax,パラレル
parallel,並列
paralleled,並列処理
parallelism,平行四辺形
parallelogram,パラログ
Paralog,パラロガス
paralogous,麻痺
paralysis,麻痺
paralytic,まひさせる
paralyze,救急
paramedic,パラメーター
parameter,パラメトリック
parametric,民兵組織
paramilitary,パラマウント
paramount,愛人
paramour,パラノイア
paranoia,パラノイアック
paranoiac,パラノイド
paranoid,超常現象
paranormal,欄干(らんかん)
parapet,身の回り品
paraphernalia,言い換え
paraphrase,言い換え
paraphrased,下半身不随
paraplegic,寄生虫
parasite,寄生
parasitic,寄生
parasitism,パラソル
parasol,副甲状腺
parathyroid,空挺隊員
paratrooper,ヨーネ病
Paratuberculosis,小包
parcel,乾上がる
parch,羊皮紙
parchment,恩赦
pardon,許せる
pardonable,削減する
pare,実質
parenchyma,親
parent,家系
parentage,親の
parental,非経口の
parenteral,括弧
parenthesis,親に
parenthood,しつけ
parenting,両親
parents,社会ののけ者
pariah,頭頂部
parietal,皮を剥くこと
paring,パリ
Paris,小教区
parish,教区民
parishioner,パリジャン
Parisian,パリティ
parity,公園
park,パーカ
parka,パーカー
Parker,パーキン
parkin,パーキング
parking,パークランド
parkland,パークウェイ
parkway,専門用語
parlance,増やす
parlay,議会
parliament,国会議員
parliamentarian,議会の
parliamentary,パーラー
parlor,パーラー
parlour,狡猾な
parlous,偏狭な
parochial,パロディ
parody,仮釈放
parole,仮釈放
paroled,仮出所者
parolee,発作
paroxysm,パーケット
parquet,オウム
parrot,受け流す
parry,構文解析する
parse,解析された
parsed,物欲しげな
parsimonious,極度の倹約
parsimony,パセリ
parsley,パースニップ
parsnip,牧師
parson,一部
part,分かち合う
partake,単為生殖
parthenogenesis,パルテノン神殿
Parthenon,部分的な
partial,部分的に
partially,参加者
participant,参加する
participate,参加
participation,参加
participatory,分詞の
participial,分詞
participle,微粒子
particle,特定の
particular,特殊性
particularity,特に
particularly,細目
particulars,微粒子
particulate,別れ
parting,パルチザン
Partisan,党派心
partisanship,パーティション
partition,パーティション化
partitioned,部分的に
partly,パートナー
partner,提携
partnered,パートナーシップ
partnership,ヤマウズラ
partridge,パーティー
party,成金
parvenu,パサディナ
Pasadena,パスカル
Pascal,遊歩道
paseo,パシャ
Pasha,パシュトゥーン族
Pashtun,エル･パソ
Paso,パス
pass,まずまずの
passable,通路
passage,継代
passaged,通路
passageway,盛りを過ぎた
passe,大集団
passel,乗客
passenger,通行人
passer,通行人
passerby,パッシング
passing,情熱
passion,情熱的な
passionate,情熱的に
passionately,受動的
passive,受動的に
passively,受動性
passivity,過越の祭り
passover,パスポート
passport,パスワード
password,過去
past,パスタ
pasta,ペースト
paste,パステル
pastel,低温殺菌する
pasteurize,模倣
pastiche,気晴らし
pastime,牧師
pastor,牧歌
pastoral,パストラミ
pastrami,ペストリー
pastry,牧草地
pasture,ペースト状
pasty,パット
pat,パッチ
patch,パッチを適用
patched,パッチワーク
patchwork,むらのある
patchy,パテ
pate,特許
patent,あきらかに
patently,ペイター
pater,父方の
paternal,パターナリズム
paternalism,父系
paternity,パス
path,哀れな
pathetic,痛ましいほどに
pathetically,パスファインダー
pathfinder,病原体
pathogen,病因
pathogenesis,病原性の
pathogenic,病原性
pathogenicity,病的な
pathologic,病的な
pathological,病理学的に
pathologically,病理学者
pathologist,病理
pathology,病態生理学的な
pathophysiological,病態生理学
pathophysiology,哀愁
pathos,経路
pathway,忍耐
patience,患者
patient,辛抱強く
patiently,緑青
patina,パティオ
patio,地方なまり
patois,家長
patriarch,家父長の
patriarchal,家父長制度
patriarchy,貴族
patrician,パトリック
Patrick,伝承
patrimony,愛国者
patriot,愛国的な
patriotic,愛国心
patriotism,パトロール
patrol,パトロール
patrolling,パトロール
patrolman,パトロン
patron,後援
patronage,守護神
patroness,ひいきにする
patronize,父称
patronymic,patroon
patroon,いいカモ
patsy,パッテン
patten,むだ話
patter,パターン
pattern,パテ
patty,PAU
PAU,少量
paucity,ポール
Paul,ポーラ
Paula,ポーリン
Pauline,サンパウロ
Paulo,桐
paulownia,太鼓腹
paunch,太鼓腹の
paunchy,貧民
pauper,ポーズ
pause,舗装
pave,舗装された
paved,舗装
pavement,パビリオン
pavilion,足
paw,ポーン
pawn,質屋
pawnbroker,PAX
pax,支払い
pay,支払うべき
payable,払い戻し
payback,給与
paycheck,給料日
payday,受取人
payee,支払人
payer,ペイロード
payload,支払主任
paymaster,支払い
payment,精算
payoff,支払い
payout,ペイパル
paypal,給与
payroll,PB
PB,PBMC
PBMC,PBPK
PBPK,パソコン
PC,PCR
PCR,PD
PD,PDA
PDA,PDF
PDF,PE
