n,ナトリウム
Na,全米有色人地位向上協会
NAACP,逮捕
nab,ナビスコ
Nabisco,ナッチョ
nacho,nAChR 
nAChR,塩化ナトリウム
NaCl,ネーダー
Nader,天底
nadir,NAFTA
NAFTA,口うるさい人
nag,長崎
Nagasaki,口やかましい　
nagging,いいえ
Nah,炭酸水素ナトリウム
nahco,ナワトル語
Nahuatl,爪
nail,ナイロビ
Nairobi,素朴な
naive,単純に
naively,素朴さ
naivete,裸
naked,剥き出し
nakedness,名
name,無名
nameless,すなわち
namely,銘板
nameplate,名
names,同名の人
namesake,ナミビア
Namibia,命名
naming,ナン
nan,ナナ
nana,ナンシー
Nancy,南京
Nanjing,南京
Nanking,乳母
nanny,ナノメートル
nanometer,ナノスケール
nanoscale,ナノテクノロジー
nanotechnology,ナノチューブ
nanotube,昼寝
nap,ナパ
Napa,ナパーム
napalm,首筋
nape,ナフタレン
naphthalene,ナプキン
napkin,ナポレオン
Napoleon,ナポレオンの
Napoleonic,おむつ
nappy,奈良
nara,ナルシシズム
narcissism,自己陶酔的な
narcissistic,水仙
narcissus,麻薬
narcotic,物語る
narrate,ナレーション
narrated,ナレーション
narration,物語
narrative,ナレーター
narrator,狭い　
narrow,狭い　
narrower,狭い　
narrowest,狭窄
narrowing,狭く
narrowly,少しも(一つも)～ない
nary,米航空宇宙局（NASA）
NASA,鼻の
nasal,ナスカー
Nascar,新生
nascent,ナスダック
NASDAQ,ナッシュ
Nash,ナッシュビル
Nashville,鼻腔から胃に挿管された
nasogastric,ナッソー
Nassau,厄介な
nastier,厄介な
nastiest,意地の悪さ
nastiness,意地の悪い　
nasty,NAT
NAT,ナタール
natal,当たり前
natch,ネイサン
Nathan,国家
nation,国民
national,ナショナリズム
nationalism,ナショナリスト
nationalist,民族主義的な
nationalistic,国籍
nationality,国有化
nationalization,国営化する
nationalize,全国的に
nationally,国家
nationhood,全国の
nationwide,ネイティブ
native,降誕
nativity,NATO
NATO,おしゃべり
natter,粋な
natty,ナチュラル
natural,自然主義
naturalism,ナチュラリスト
naturalist,自然主義的な
naturalistic,帰化
naturalization,帰化した
naturalized,自然に
naturally,自然
nature,無価値
naught,いたずらな
naughty,吐き気
nausea,吐き気を催す
nauseate,吐き気を催させる
nauseous,航海の
nautical,オウムガイ
nautilus,ナバホ
Navajo,海軍の
naval,身廊
nave,へそ
navel,航行可能な
navigable,ナビゲート
navigate,ナビゲーション
navigation,航行の
navigational,ナビゲーター
navigator,ネイビー
navy,いや
Nay,反対論者
naysayer,ナザレ
Nazareth,ナチス
Nazi,ナチズム
Nazism,NB
NB,NBA
NBA,NBC
NBC,NC
NC,米国国立生物医学情報センター
NCBI,ND
ND,NE
NE,ネアンデルタール人
Neanderthal,近く
near,近所の
nearby,近い　
nearer,最寄り
nearest,ほぼ
nearly,近視
nearsighted,ニート
neat,きちんと
neatly,nebbish
nebbish,ネブラスカ州
Nebraska,星雲
nebula,漠然とした
nebulous,必ず
necessarily,必要
necessary,必要とする
necessitate,必要
necessity,ネック
neck,ネックレス
necklace,ネックライン
neckline,ネクタイ
necktie,降霊術師
necromancer,剖検
necropsy,壊死
necrosis,壊死の
necrotic,壊死する
necrotize,ネクター
nectar,ネクタリン
nectarine,旧姓
nee,必要
need,必要とされる
needed,入用な
needful,針葉樹の葉
needle,ニードルポイント
needlepoint,不必要
needless,不必要に
needlessly,刺し子
needlework,ニーズ
needs,貧しい　
needy,極悪な
