b,b
BA,BA
BAA,BAA
baba,ババ
Babbitt,バビットメタル
babble,せせらぎ
babe,赤ん坊
Babel,バベル
baboon,ヒヒ
baby,赤ちゃん
babyhood,乳児期
babyish,あどけない　
Babylon,バビロン
Babylonia,バビロニア
Babylonian,バビロニア人
babysit,子守
babysitter,ベビーシッター
BAC,BAC
baccarat,バカラ
Bacchus,バッカス
Bach,バッハ
bachelor,学士
bachelorhood,独身
bacillus,桿菌
back,バック
backbencher,平議員
backbone,バックボーン
backcourt,バックコート
backcross,戻し交配
backdoor,バックドア
backdrop,背景
backer,助っ人
backfire,裏目に出る
backflip,バック転
backgammon,バックギャモン
background,背景
backhand,バックハンド
backhanded,バックハンドの
backing,バッキング
backlash,バックラッシュ
backlog,バックログ
backpack,バックパック
backpacker,バックパッカー
backpedal,backpedal
backseat,後部座席
backside,裏側
backslide,後戻り
backstage,楽屋
backstop,バックストップ
backstory,裏話
backstreet,裏道
backtrack,バックトラック
backup,バックアップ
backward,後方
backwater,バックウォーター
backwoods,へき地
backyard,裏庭
Bacon,ベーコン
bacteremium,菌血症
bacteria,細菌
bacterial,細菌の
bactericidal,殺菌性の
bacteriological,細菌学の
bacteriologist,細菌学者
bacteriome,bacteriome
bacteriophage,バクテリオファージ
bacterium,細菌
Bactrian,フタコブラクダ
baculovirus,バキュロウイルス
bad,悪い　
badass,たちの悪いやつ
baddie,悪役
badge,バッジ
badger,アナグマ
badly,ひどく
badminton,バドミントン
badness,悪さ
baffle,バッフル
baffled,当惑する
baffling,不可解
bag,バッグ
bagel,ベーグル
baggage,荷物
bagged,袋詰め
baggy,だぶだぶの
Baghdad,バグダッド
baguette,バゲット
bah,フン！
Bahama,バハマ
Bahamian,バハマ諸島の
Bahrain,バーレーン
baht,バーツ
bail,保釈
bailey,ベイリー
bailiff,廷吏
bailiwick,得意分野
bailout,救済
bairn,子供
bait,餌
baited,餌を付けた
Baja,バヤ
bake,焼く
baked,焼いた
baker,ベイカー
bakery,ベーカリー
baking,ベーキング
balance,バランス
balanced,バランスのとれた
balancing,バランス
Balaton,バラトン湖
balcony,バルコニー
bald,はげた
balderdash,たわごと
baldness,禿
Baldwin,ボールドウィン
bale,俵
Balearic,バレアレス諸島
baleful,悪意に満ちた
balk,ボーク
Balkan,バルカン半島
balkanization,バルカン化
balky,期待通りに動作しない
ball,ボール
ballad,バラード
balladeer,バラード歌手
ballard,バラード
ballast,バラスト
ballclub,ballclub
ballerina,バレリーナ
ballet,バレエ
ballgame,野球の試合
ballistic,弾道の
ballistics,弾道学
balloon,バルーン
